"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"0_alpha"	"1_alpha"	"sigma0"	"1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"	"fit"	"delta"	"w"
10	"OUMVA"	1645.922895437	-3279.84579087401	-3279.80441156366	-3246.13039037665	6	1100	560	130	0.122404516961942	0.118323100485951	0.00398299526166008	0.00325587709394171	0.861897779863207	0.00762120094952381	0.979639776986816	0.00719933235912571	-3279.80441156366	0	0.999999006172129
100	"BM1"	1327.80463096981	-2651.60926193962	-2651.60336223461	-2640.37079510717	2	1000	0	0	0	0	0.00231900996495511	0	0.944182664998124	0.204582538324967	0	0	-2651.60336223461	810.348333862082	9.73813144155244e-177
100	"BMS"	1334.08549188866	-2662.17098377732	-2662.15917856335	-2645.31328352864	3	680	340	0	0	0	0.00249668615675316	0.00196886351926422	0.944571121334347	0.210050637192671	0	0	-2662.15917856335	799.79251753334	1.90827967191355e-174
100	"OU1"	1675.59842038842	-3345.19684077684	-3345.18503556287	-3328.33914052816	3	1400	320	0	0.0818914675330473	0	0.00319772828629453	0	0.899154743733442	0.00692590194248674	0	0	-3345.18503556287	116.766660533817	3.96115986466461e-26
100	"OUM"	1732.8081384989	-3457.61627699779	-3457.59659195842	-3435.13934333289	4	1500	250	0	0.109870591928511	0.109870591928511	0.00356360134396129	0.00356360134396129	0.844364485163195	0.00648412617134137	0.984022983658054	0.00892535703544287	-3457.59659195842	4.35510413826751	0.101784510506029
100	"OUMV"	1735.99061909709	-3461.98123819418	-3461.95169609669	-3433.88507111305	5	1100	460	170	0.108995147277612	0.108995147277612	0.00374283247529678	0.00315896052963339	0.844531326464465	0.00670233259562079	0.983882908878261	0.0084769374507769	-3461.95169609669	0	0.898215489493971
11	"BM1"	1417.46890347581	-2830.93780695163	-2830.93190724661	-2819.69934011917	2	1000	0	0	0	0	0.0022758228781096	0	0.94184981150597	0.200845860739195	0	0	-2830.93190724661	751.281225645671	7.26376118088558e-164
11	"BMS"	1420.47102779169	-2834.94205558338	-2834.93025036941	-2818.0843553347	3	680	350	0	0	0	0.00239775954497156	0.00203669412899445	0.946086828779311	0.197502368883709	0	0	-2834.93025036941	747.282882522868	5.36278930304769e-163
11	"OU1"	1752.35859040819	-3498.71718081638	-3498.70537560241	-3481.8594805677	3	1400	380	0	0.0840495858291448	0	0.00312864189074804	0	0.923593331559315	0.00703879077872377	0	0	-3498.70537560241	83.5077572898758	7.35068464185915e-19
11	"OUM"	1786.88307128876	-3565.76614257752	-3565.74645753815	-3543.28920891261	4	1500	300	0	0.0989369031089569	0.0989369031089569	0.00329588716759497	0.00329588716759497	0.874782234709494	0.0078333591743456	0.990460554445724	0.00954254372458203	-3565.74645753815	16.4666753541342	0.000265530102956169
