"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"0_alpha"	"1_alpha"	"sigma0"	"1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"	"fit"	"delta"	"w"
100	"BM1"	1327.80463096981	-2651.60926193962	-2651.60336223461	-2640.37079510717	2	1000	0	0	0	0	0.00231900996495511	0	0.944182664998124	0.204582538324967	0	0	-2651.60336223461	792.764362299883	7.13519755009203e-173
100	"BMS"	1328.94688702133	-2651.89377404267	-2651.8819688287	-2635.03607379399	3	530	490	0	0	0	0.00221327038346331	0.00243283498614335	0.9443408894463	0.200154744825382	0	0	-2651.8819688287	792.485755705793	8.20171464171981e-173
100	"OU1"	1675.59842038842	-3345.19684077684	-3345.18503556287	-3328.33914052816	3	1400	320	0	0.0818914675330473	0	0.00319772828629453	0	0.899154743733442	0.00692590194248674	0	0	-3345.18503556287	99.182688971619	2.90236975455858e-22
100	"OUM"	1700.81307213712	-3393.62614427425	-3393.60645923488	-3371.14921060934	4	1500	310	0	0.0910539517252503	0.0910539517252503	0.00330079653714181	0.00330079653714181	0.935529852109397	0.00812277241100066	0.840056896857057	0.00973515357314109	-3393.60645923488	50.7612652996177	9.49142221612565e-12
100	"OUMV"	1700.96867158281	-3391.93734316563	-3391.90780106814	-3363.84117608449	5	1000	490	220	0.0906241277976556	0.0906241277976556	0.00323572889828885	0.00335407922992312	0.935676171633941	0.00808627725430863	0.840136467157577	0.00986366061463737	-3391.90780106814	52.4599234663542	4.05949825205083e-12
100	"OUMVA"	1728.20455192242	-3444.40910384484	-3444.36772453449	-3410.69370334748	6	1000	490	220	0.0839661668814466	0.0962594099907613	0.00329397809826823	0.000787340175995003	0.93799843303703	0.00883133694599926	0.845365141204432	0.00882655229386369	-3444.36772453449	0	0.999999999986449
11	"BM1"	1417.46890347581	-2830.93780695163	-2830.93190724661	-2819.69934011917	2	1000	0	0	0	0	0.0022758228781096	0	0.94184981150597	0.200845860739195	0	0	-2830.93190724661	739.145210620498	3.13802493506591e-161
11	"BMS"	1421.10009642522	-2836.20019285043	-2836.18838763646	-2819.34249260175	3	520	490	0	0	0	0.00208924450230952	0.00247693859357296	0.943666643242961	0.193298434618886	0	0	-2836.18838763646	733.888730230647	4.3459687981861e-160
11	"OU1"	1752.35859040819	-3498.71718081638	-3498.70537560241	-3481.8594805677	3	1400	380	0	0.0840495858291448	0	0.00312864189074804	0	0.923593331559315	0.00703879077872377	0	0	-3498.70537560241	71.3717422647028	3.17557682880039e-16
11	"OUM"	1773.73308516445	-3539.4661703289	-3539.44648528953	-3516.98923666399	4	1500	360	0	0.0911730845748073	0.0911730845748073	0.00319496938937097	0.00319496938937097	0.959351713447878	0.00839935408908571	0.871275075201327	0.00991394870350996	-3539.44648528953	30.6306325775831	2.23173274806239e-07
11	"OUMV"	1776.06129095795	-3542.1225819159	-3542.09303981841	-3514.02641483477	5	1100	480	250	0.0904829148911879	0.0904829148911879	0.00297095648671764	0.0034127209925722	0.959748949694982	0.00818465858090935	0.871469682727667	0.0103100243108337	-3542.09303981841	27.9840780486961	8.38174029411965e-07
11	"OUMVA"	1791.05924858873	-3570.11849717745	-3570.07711786711	-3536.40309668009	6	1100	480	250	0.0875681618337266	0.0930136098014405	0.00313535528517492	0.00191213473096352	0.96298649652448	0.00856478454886843	0.875960850145386	0.00957422372624379	-3570.07711786711	0	0.999998938652696
12	"BM1"	1485.48612568112	-2966.97225136224	-2966.96635165723	-2955.73378452979	2	1000	0	0	0	0	0.00219547020894049	0	0.936384940985522	0.188571560012971	0	0	-2966.96635165723	735.400878816725	2.04046039483933e-160
12	"BMS"	1486.86879558887	-2967.73759117775	-2967.72578596378	-2950.87989092907	3	530	480	0	0	0	0.00230488546054012	0.00207507156494872	0.935096518729717	0.192571353832005	0	0	-2967.72578596378	734.641444510173	2.98288997073802e-160
12	"OU1"	1811.07475715749	-3616.14951431498	-3616.13770910101	-3599.2918140663	3	1400	320	0	0.0875156779374013	0	0.00308435324392296	0	0.902529196369315	0.00656477932745107	0	0	-3616.13770910101	86.2295213729471	1.88580743349376e-19
