"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"	"fit"	"delta"	"w"	"regime"	"data"	"tree"
"1"	"OUMVA"	1748.98608684811	-3485.97217369621	-3485.93079438587	-3452.25677319885	6	1100	490	240	0.107062406277037	0.116451385933679	0.00362232835622526	0.00148471568482387	0.9492190718623	0.00784860914609019	0.857254233616578	0.00830086087621049	-3485.93079438587	0	1	"Asia"	"empirical"	"set_trees"
"10"	"BM1"	1111.48159902184	-2218.96319804369	-2218.95729833867	-2207.72473121123	2	1000	0	0	0	0	0.00321004621169067	0	0.948947811646316	0.236003682196217	0	0	-2218.95729833867	917.527806492958	5.76893810502134e-200	"Asia"	"empirical"	"set_trees"
"10"	"BM1"	1111.48159902184	-2218.96319804369	-2218.95729833867	-2207.72473121123	2	1000	0	0	0	0	0.00321004621169067	0	0.948947811646316	0.236003682196217	0	0	-2218.95729833867	1060.84711322499	4.36491569524382e-231	"Americas"	"empirical"	"set_trees"
"10"	"BMS"	1112.08474613576	-2218.16949227152	-2218.15768705755	-2201.31179202284	3	530	490	0	0	0	0.00331537915603275	0.00309602767967841	0.949203310735933	0.239228360208995	0	0	-2218.15768705755	918.327417774074	3.86778652391582e-200	"Asia"	"empirical"	"set_trees"
"10"	"BMS"	1229.61824738693	-2453.23649477387	-2453.2246895599	-2436.37879452519	3	680	340	0	0	0	0.00413621371932743	0.00138058338900868	0.961452629891496	0.243796529187413	0	0	-2453.2246895599	826.579722003762	3.23961580224479e-180	"Americas"	"empirical"	"set_trees"
"10"	"OU1"	1536.56473176344	-3067.12946352688	-3067.11765831291	-3050.2717632782	3	1500	300	0	0.114774858643404	0	0.00464207782127748	0	0.911609566443526	0.00610897771737942	0	0	-3067.11765831291	69.3674465187173	8.64525748137514e-16	"Asia"	"empirical"	"set_trees"
"10"	"OU1"	1536.56473176344	-3067.12946352688	-3067.11765831291	-3050.2717632782	3	1500	300	0	0.114774858643404	0	0.00464207782127748	0	0.911609566443526	0.00610897771737942	0	0	-3067.11765831291	212.686753250751	6.54120730417142e-47	"Americas"	"empirical"	"set_trees"
"10"	"OUM"	1564.04457535196	-3120.08915070393	-3120.06946566456	-3097.61221703902	4	1500	300	0	0.126193331923483	0.126193331923483	0.00478008899076721	0.00478008899076721	0.945109090559925	0.00724724976199713	0.856800891306848	0.00877626134555095	-3120.06946566456	16.4156391670713	0.000272343366885861	"Asia"	"empirical"	"set_trees"
"10"	"OUM"	1596.86656067998	-3185.73312135996	-3185.71343632059	-3163.25618769506	4	1600	230	0	0.151036187866767	0.151036187866767	0.00518425953489423	0.00518425953489423	0.856038595155923	0.00617997885907341	0.980510967156961	0.00762646828259263	-3185.71343632059	94.0909752430671	3.70172281706259e-21	"Americas"	"empirical"	"set_trees"
"10"	"OUMV"	1565.31395477137	-3120.62790954274	-3120.59836744526	-3092.53174246161	5	1100	490	200	0.127266808776921	0.127266808776921	0.00503673756925798	0.00454857582154238	0.944669662279559	0.00736649971947133	0.856558993769244	0.00848134354730808	-3120.59836744526	15.8867373863727	0.000354785910581799	"Asia"	"empirical"	"set_trees"
"10"	"OUMV"	1631.09527601116	-3252.19055202232	-3252.16100992483	-3224.09438494118	5	1100	560	130	0.126639955740163	0.126639955740163	0.00552038291965417	0.00297527440200127	0.859312260398522	0.00777690608237527	0.981239066440152	0.00690594052867832	-3252.16100992483	27.6434016388343	9.93827871047363e-07	"Americas"	"empirical"	"set_trees"
