"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
"ouwie_Afr_avgl_29"	"OUMA"	22696.8274925807	-45383.6549851613	-45383.6221444388	-45356.0864389221	5	5.8e+09	5.2e+09	7900	3.40861951092382	0.966196750172514	1.00010906654968e-09	1.00010906654968e-09	1.31994335353461	1.27109116470992e+48	5.95390799167478e-26	1.66479681876957e+23
"ouwie_Afr_avgl_29"	"OUMVA"	24247.031213188	-48482.062426376	-48482.0164241854	-48448.9801708889	6	1500	73	30	2.51762990493718	1.04131750744026e-08	1e-09	17.0866308445672	1.31994332967972	6.52452980010808e+49	-1.89629505844825e-61	0
"ouwie_Afr_avgl_3"	"OUMA"	22726.0824297753	-45442.1648595505	-45442.132018828	-45414.5963133113	5	5.7e+09	7.5e+07	700	3.4224267552106	1.16430491814422	1e-09	1e-09	1.79175946922805	4.24516934861825e+54	-5.60290709331975e-27	4.89796233068585e+28
"ouwie_Afr_avgl_3"	"OUMVA"	22750.3172631956	-45488.6345263913	-45488.5885242007	-45455.5522709042	6	5.6e+09	880	35	3.43206014871563	1.17545949881239	1.00002331665992e-09	1.00526207938215e-09	1.79175946922805	3.8652699049369e+54	8.49184993700934e-26	3.74300612518156e+28
"ouwie_Afr_avgl_30"	"OUMA"	17554.9486736307	-35099.8973472614	-35099.8645065389	-35072.3288010222	5	6.2e+13	4.7e+11	-4.9e+11	2.13726087275524	2.33102337557357	1e-09	1e-09	13371459.2241439	1588352.07779094	1.33686964831436	0.0273081728059569
"ouwie_Afr_avgl_31"	"OUMA"	17610.4527462915	-35210.9054925831	-35210.8726518606	-35183.3369463439	5	2.3e+08	960000	400	1.70108377114439e-09	0.34102513084373	1.00012405520831e-09	1.00012405520831e-09	-1.99955321703524e-11	0	1.00436029969668	67576.6449445448
"ouwie_Afr_avgl_31"	"OUMVA"	18119.6352231416	-36227.2704462831	-36227.2244440925	-36194.1881907961	6	1500	160	28	2.40286059031566e-09	0.168815358173883	1.01026457344234e-09	0.00177540041322203	300982203.384936	159207571.614455	-8.24592669970792	0
"ouwie_Afr_avgl_32"	"OUMV"	-1775.64419342034	3561.28838684068	3561.32122756317	3588.85693307987	5	910	36	-26000	3.1426042560734	3.1426042560734	2.5753876647659	3.2566033640609	0.49703635493995	0.0154737904275003	1.18998213887101	0.0861497203020585
"ouwie_Afr_avgl_32"	"OUMVA"	17580.0354080994	-35148.0708161987	-35148.0248140082	-35114.9885607117	6	910	36	-26000	1.28650065666952e-07	0.30285560610981	1e-09	1.00114983315964e-09	1.2811741735754e-08	3.05744298550992e-06	1.36992836495562	144.819348816223
"ouwie_Afr_avgl_32"	"OUMA"	22454.4096764878	-44898.8193529756	-44898.7865122531	-44871.2508067364	5	1.4e+07	1500	-5.2e+08	3.35365901678684	1.46615045125006	1.00059521652224e-09	1.00059521652224e-09	1.79175946922805	1.62043987675058e+46	9.04607343155661e-29	570947267448381888
