"","id","model","loglik","AIC","AICc","BIC","param.count","eigval1","eigval2","eigval3","X0_alpha","X1_alpha","sigma0","X1_sigma.sq","theta0","theta_se0","theta_1","theta_se_1","fit","delta","w","data","regime","tree"
"11","ouwie_Afr_avgl_16","OUM",-1539.1484218631,3086.29684372619,3086.31872556427,3108.35168071755,4,1400,190,0,0.149467452693415,0.149467452693415,0.134456593300209,0.134456593300209,0.584683230603062,0.0260195820822979,1.21543487268689,0.0986159000414814,3086.31872556427,0,0.513013259164178,"empirical","Megafauna","set_trees"
"12","ouwie_Afr_avgl_17","OUM",-1793.82565573686,3595.65131147372,3595.67319331179,3617.70614846508,4,5.7e+09,920,0,3.37100622402734,3.37100622402734,2.84277516467012,2.84277516467012,0.510437113114709,0.0156513616549561,1.11233819209235,0.0779514216164711,3595.67319331179,0,0.654388110603833,"empirical","Megafauna","set_trees"
"13","ouwie_Afr_avgl_18","OUM",-1513.79992808963,3035.59985617927,3035.62173801734,3057.65469317063,4,1400,190,0,0.122423649077415,0.122423649077415,0.108256209740009,0.108256209740009,0.600719989320922,0.0285318511423631,1.18601300714689,0.0975776250208981,3035.62173801734,0,0.664941723983196,"empirical","Megafauna","set_trees"
"14","ouwie_Afr_avgl_19","OUM",-1556.03890745835,3120.07781491669,3120.09969675477,3142.13265190805,4,1400,190,0,0.139600437681543,0.139600437681543,0.127035414290907,0.127035414290907,0.634297768448088,0.0273284563241369,1.2275688113576,0.0960194320791033,3120.09969675477,0,0.674528153300694,"empirical","Megafauna","set_trees"
"15","ouwie_Afr_avgl_2","OUM",-1551.14995346697,3110.29990693394,3110.32178877201,3132.3547439253,4,1400,150,0,0.156706461460005,0.156706461460005,0.136662152848099,0.136662152848099,0.570811692736002,0.0246944265055721,1.19257219212441,0.0977308014086776,3110.32178877201,0,0.726630012440382,"empirical","Megafauna","set_trees"
"16","ouwie_Afr_avgl_20","OUMV",-2028.16223636841,4066.32447273683,4066.35731345932,4093.89301897602,5,5.6e+09,880,39,3.42691969985256,3.42691969985256,3.71995014636716,3.55583155457558,0.502748941147909,0.0177676411711098,1.15780050913431,0.0820823593467912,4066.35731345932,0,0.999999999997566,"empirical","Megafauna","set_trees"
"17","ouwie_Afr_avgl_21","OUM",-1636.44350144226,3280.88700288452,3280.90888472259,3302.94183987588,4,1500,140,0,0.180931418502039,0.180931418502039,0.165807815988301,0.165807815988301,0.579505859837067,0.02400425304482,1.27160825647683,0.095134094818905,3280.90888472259,0,0.70537093365584,"empirical","Megafauna","set_trees"
"18","ouwie_Afr_avgl_22","OUMVA",-1573.83428983011,3159.66857966022,3159.7145818508,3192.75083514726,6,1400,190,25,0.154999798859019,0.158787959724835,0.140181715012012,0.0880700991533891,0.571292989169306,0.0243265354500814,1.2856355912999,0.0856482836273612,3159.7145818508,0,0.525248038390722,"empirical","Megafauna","set_trees"
"19","ouwie_Afr_avgl_23","OUM",-1575.56437132685,3159.1287426537,3159.15062449177,3181.18357964506,4,1400,160,0,0.173839270437799,0.173839270437799,0.156953006992783,0.156953006992783,0.582716977202866,0.0253436405755609,1.2240559057388,0.09386898326569,3159.15062449177,0,0.589637966359276,"empirical","Megafauna","set_trees"
"20","ouwie_Afr_avgl_24","OUM",-1786.04414849756,3580.08829699511,3580.11017883319,3602.14313398647,4,6e+09,920,0,3.29308633587021,3.29308633587021,2.73468306715254,2.73468306715254,0.498963775896843,0.0155011958654683,1.15116325783423,0.0779718763962416,3580.11017883319,0,0.996627941548321,"empirical","Megafauna","set_trees"
