"id" "model" "loglik" "AIC" "AICc" "BIC" "param.count" "eigval1" "eigval2" "eigval3" "X0_alpha" "X1_alpha" "sigma0" "X1_sigma.sq" "theta0" "theta_se0" "theta_1" "theta_se_1"
"11" "ouwie_Afr_avgl_10" "OU1" -1538.40684198212 3082.81368396425 3082.82680588879 3099.35481170776 3 1300 210 0 0.103093733724207 0.103093733724207 0.102936070415273 0.102936070415273 0.711381428895443 0.0332218127786985 0.711381428895443 0.0332218127786985
"12" "ouwie_Afr_avgl_10" "OUM" -1523.32804222706 3054.65608445413 3054.6779662922 3076.71092144549 4 1300 200 0 0.110522008535552 0.110522008535552 0.10538461661932 0.10538461661932 0.63929801328977 0.0327254864393342 1.23554910320612 0.100131089522404
"13" "ouwie_Afr_avgl_10" "OUMV" -1521.82106021455 3053.6421204291 3053.6749611516 3081.2106666683 5 1200 240 26 0.1076500530027 0.1076500530027 0.104961270851448 0.0753379358813815 0.644351227778351 0.0336859234063188 1.23605650924634 0.0866875635206477
"14" "ouwie_Afr_avgl_10" "OUMA" 43188.5066708324 -86367.0133416647 -86366.9805009422 -86339.4447954255 5 2.2e+10 3.4e+07 38000 1.0560095405252 2.81784950119856 1.00051032099721e-09 1.00051032099721e-09 2.99727494726014e-13 0 1.44719449202168 1.55683929818783e+71
"15" "ouwie_Afr_avgl_100" "BM1" -1999.62326230178 4003.24652460356 4003.25308198061 4014.27394309924 2 920 0 0 0 0 0.0707890132402354 0.0707890132402354 0.996603491069035 1.1308423474802 0.996603491069035 1.1308423474802
"16" "ouwie_Afr_avgl_100" "BMS" -1974.37174853977 3954.74349707955 3954.7566190041 3971.28462482307 3 890 30 0 0 0 0.0727192784540614 0.0143644011894109 1.03471328969914 1.13522373383649 1.03471328969914 1.13522373383649
"17" "ouwie_Afr_avgl_100" "OU1" -1617.67423951789 3241.34847903577 3241.36160096032 3257.88960677929 3 1400 170 0 0.128660196491011 0.128660196491011 0.121991448682087 0.121991448682087 0.621782279062272 0.0265472336345671 0.621782279062272 0.0265472336345671
"18" "ouwie_Afr_avgl_100" "OUM" -1599.51598115521 3207.03196231041 3207.05384414849 3229.08679930177 4 1400 160 0 0.139878052887787 0.139878052887787 0.126559424938408 0.126559424938408 0.565391374484746 0.0258556616807027 1.16252034986707 0.0924413323366982
"19" "ouwie_Afr_avgl_100" "OUMV" -1598.80135324754 3207.60270649509 3207.63554721758 3235.17125273428 5 1400 200 28 0.137732372786383 0.137732372786383 0.126090026696502 0.101309690694794 0.567291368517143 0.0262188464634748 1.1632417889829 0.0837286453529095
"20" "ouwie_Afr_avgl_100" "OUMVA" 24274.6127376279 -48537.2254752559 -48537.1794730653 -48504.1432197688 6 1400 200 28 3.32267653091435 1.53342402419158 1.00912022904995e-09 4.24676557308214e-05 1.79175946922805 1.32008538269069e+35 1.83489459233529e-22 0
"21" "ouwie_Afr_avgl_100" "OUMA" 24400.7345391497 -48791.4690782995 -48791.436237577 -48763.9005320603 5 6e+09 1.1e+07 1200 3.32783593622576 1.57228190124299 1.00526884471589e-09 1.00526884471589e-09 1.79175946922805 2.32016351836265e+34 1.03823206467828e-21 4114841545295.35
"22" "ouwie_Afr_avgl_101" "BM1" -2385.93159272017 4775.86318544033 4775.86973208517 4786.89387458269 2 920 0 0 0 0 0.112931558853261 0.112931558853261 1.19097212194254 1.31116349659783 1.19097212194254 1.31116349659783
"23" "ouwie_Afr_avgl_101" "BMS" -2351.37055151138 4708.74110302275 4708.75420345943 4725.28713673629 3 890 30 0 0 0 0.116187988495477 0.0161686241167209 1.23097643425529 1.3106959706898 1.23097643425529 1.3106959706898
"24" "ouwie_Afr_avgl_101" "OU1" -1826.85150243065 3659.7030048613 3659.71610529798 3676.24903857484 3 1600 36 0 0.260983713854611 0.260983713854611 0.264584568735042 0.264584568735042 0.58276122754653 0.0207710940293639 0.58276122754653 0.0207710940293639
"25" "ouwie_Afr_avgl_101" "OUMV" -1792.27072104708 3594.54144209417 3594.57422897941 3622.11816495007 5 1700 63 0.98 0.70300618084104 0.70300618084104 0.608055040415294 0.809122957800716 0.515119648155333 0.0166939019160104 1.19053787356592 0.0899098041836992
"26" "ouwie_Afr_avgl_101" "OUM" -1788.85277279401 3585.70554558801 3585.72739157381 3607.76692387274 4 1800 3.3 0 2.9836127793208 2.9836127793208 2.48825130263374 2.48825130263374 0.507487080141437 0.0155799297719941 1.16319306772857 0.073667876750809
"27" "ouwie_Afr_avgl_101" "OUMVA" 23495.7217066965 -46979.4434133931 -46979.3974866572 -46946.351345966 6 1700 63 0.98 2.78836588339191 1.0296900184686e-09 1e-09 0.161415122544338 1.79175946922805 1.8844783416563e+68 -1.28993041745637e-75 1.16621491540065e-06
"28" "ouwie_Afr_avgl_101" "OUMA" 23519.4147141565 -47028.829428313 -47028.7966414277 -47001.2527054571 5 6e+09 1.9e+09 2000 3.33066702236209 1.05083695950538 1.00166070483383e-09 1.00166070483383e-09 1.79175946922805 7.87636065176725e+54 -4.52880018422015e-32 0
"29" "ouwie_Afr_avgl_11" "BM1" -2427.0619898546 4858.1239797092 4858.13053708625 4869.15139820488 2 920 0 0 0 0 0.124655098650538 0.124655098650538 0.987076269536637 1.48709058026358 0.987076269536637 1.48709058026358
"30" "ouwie_Afr_avgl_11" "BMS" -2408.06470238827 4822.12940477655 4822.1425267011 4838.67053252007 3 890 25 0 0 0 0.127756806263725 0.0277911369799752 1.05536784935041 1.49094317984017 1.05536784935041 1.49094317984017
"31" "ouwie_Afr_avgl_11" "OU1" -1800.97967390182 3607.95934780365 3607.9724697282 3624.50047554717 3 5.9e+09 920 0 3.33191788537004 3.33191788537004 2.82450215347026 2.82450215347026 0.523538043239227 0.0153880755923442 0.523538043239227 0.0153880755923442
"32" "ouwie_Afr_avgl_11" "OUM" -1767.05535088612 3542.11070177224 3542.13258361032 3564.1655387636 4 5.9e+09 920 0 3.33191918221132 3.33191918221132 2.72188967948441 2.72188967948441 0.499008311885144 0.0153914234048037 1.17012211721208 0.0792272688620289
"33" "ouwie_Afr_avgl_11" "OUMV" -1766.60787634758 3543.21575269517 3543.24859341766 3570.78429893437 5 1700 52 3.4 2.49516037565204 2.49516037565204 2.02973739297787 2.56189097384537 0.499428089935278 0.0154277106673605 1.17481055994048 0.0892894170520424
