Column1;x;PalmSubfamily;accGenus;PalmTribe;;;;;;;;;;SpecName;PalmSubfamily;accGenus;PalmTribe
58;Livistona_tahanensis;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Archontophoenix_purpurea;Arecoideae;Archontophoenix;Areceae
59;Livistona_jenkinsiana;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Archontophoenix_tuckeri;Arecoideae;Archontophoenix;Areceae
60;Livistona_saribus;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Areca_abdulrahmanii;Arecoideae;Areca;Areceae
61;Livistona_exigua;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Areca_ahmadii;Arecoideae;Areca;Areceae
62;Livistona_halongensis;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Areca_andersonii;Arecoideae;Areca;Areceae
63;Livistona_boninensis;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Areca_arundinacea;Arecoideae;Areca;Areceae
64;Livistona_chinensis;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Areca_bakeri;Arecoideae;Areca;Areceae
65;Livistona_carinensis;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Areca_brachypoda;Arecoideae;Areca;Areceae
66;Saribus_brevifolius;Coryphoideae;Saribus;Corypheae;;;;;;;;;;Areca_caliso;Arecoideae;Areca;Areceae
67;Saribus_tothur;Coryphoideae;Saribus;Corypheae;;;;;;;;;;Areca_camarinensis;Arecoideae;Areca;Areceae
68;Saribus_jeanneneyi;Coryphoideae;Saribus;Corypheae;;;;;;;;;;Areca_catechu;Arecoideae;Areca;Areceae
69;Saribus_papuanus;Coryphoideae;Saribus;Corypheae;;;;;;;;;;Areca_chaiana;Arecoideae;Areca;Areceae
70;Saribus_woodfordii;Coryphoideae;Saribus;Corypheae;;;;;;;;;;Areca_churchii;Arecoideae;Areca;Areceae
71;Saribus_surru;Coryphoideae;Saribus;Corypheae;;;;;;;;;;Areca_concinna;Arecoideae;Areca;Areceae
