"","SpecName","Area_code_L3","accGenus","PalmTribe","PalmSubfamily","AverageFruitLength_cm","accAfrica","Americas","Asia","Africa","Madagascar","Pacific","accRealm","area","region","continent","log_BBM_MCC","log_BBM_mean"
"1210","Calamus_multinervis","PHI","Calamus","Calameae","Calamoideae",0.93,"0","0","1","0","0","0","Asia","Philippines","Malesia","ASIA-TROPICAL",1.98461329191714,0.884634684066643
"1211","Calamus_multispicatus","CHH","Calamus","Calameae","Calamoideae",1,"0","0","1","0","0","0","Asia","Hainan","China","ASIA-TEMPERATE",-0.343560683117488,0.891612214651473
"1212","Calamus_muricatus","BOR","Calamus","Calameae","Calamoideae",1,"0","0","1","0","0","0","Asia","Borneo","Malesia","ASIA-TROPICAL",-0.394173160835632,0.843699837968971
"1213","Calamus_myriacanthus","BOR","Calamus","Calameae","Calamoideae",0.5,"0","0","1","0","0","0","Asia","Borneo","Malesia","ASIA-TROPICAL",1.12420117070869,0.724151480615543
"1214","Calamus_nagbettai","IND","Calamus","Calameae","Calamoideae",1.6,"0","0","1","0","0","0","Asia","India","Indian Subcontinent","ASIA-TROPICAL",1.68093842560827,0.900915588764581
"1215","Calamus_nambariensis","THA","Calamus","Calameae","Calamoideae",2.4,"0","0","1","0","0","0","Asia","Thailand","Indo-China","ASIA-TROPICAL",-0.191723249963056,0.959526845677156
"1216","Calamus_nambariensis","CHC","Calamus","Calameae","Calamoideae",2.4,"0","0","1","0","0","0","Asia","China South-Central","China","ASIA-TEMPERATE",-0.191723249963056,0.959526845677156
"1217","Calamus_nambariensis","BAN","Calamus","Calameae","Calamoideae",2.4,"0","0","1","0","0","0","Asia","Bangladesh","Indian Subcontinent","ASIA-TROPICAL",-0.191723249963056,0.959526845677156
"1218","Calamus_nambariensis","MYA","Calamus","Calameae","Calamoideae",2.4,"0","0","1","0","0","0","Asia","Myanmar","Indo-China","ASIA-TROPICAL",-0.191723249963056,0.959526845677156
"1219","Calamus_nambariensis","ASS","Calamus","Calameae","Calamoideae",2.4,"0","0","1","0","0","0","Asia","Assam","Indian Subcontinent","ASIA-TROPICAL",-0.191723249963056,0.959526845677156
"1220","Calamus_nambariensis","VIE","Calamus","Calameae","Calamoideae",2.4,"0","0","1","0","0","0","Asia","Vietnam","Indo-China","ASIA-TROPICAL",-0.191723249963056,0.959526845677156
"1221","Calamus_nambariensis","LAO","Calamus","Calameae","Calamoideae",2.4,"0","0","1","0","0","0","Asia","Laos","Indo-China","ASIA-TROPICAL",-0.191723249963056,0.959526845677156
"1222","Calamus_nanodendron","BOR","Calamus","Calameae","Calamoideae",2.82,"0","0","1","0","0","0","Asia","Borneo","Malesia","ASIA-TROPICAL",1.07358869299054,0.937663916511354
"1223","Calamus_neelagiricus","IND","Calamus","Calameae","Calamoideae",1,"0","0","1","0","0","0","Asia","India","Indian Subcontinent","ASIA-TROPICAL",2.84502541312558,1.08093587785321
"1224","Calamus_nematospadix","BOR","Calamus","Calameae","Calamoideae",0.7,"0","0","1","0","0","0","Asia","Borneo","Malesia","ASIA-TROPICAL",0.820526304399824,0.787879593290327
"1225","Calamus_occidentalis","JAW","Calamus","Calameae","Calamoideae",1.85,"0","0","1","0","0","0","Asia","Jawa","Malesia","ASIA-TROPICAL",-0.849685460298928,0.937198747805699
"1226","Calamus_oligostachys","THA","Calamus","Calameae","Calamoideae",0.7,"0","0","1","0","0","0","Asia","Thailand","Indo-China","ASIA-TROPICAL",1.93400081419899,0.87486614124788
"1227","Calamus_oligostachys","LAO","Calamus","Calameae","Calamoideae",0.7,"0","0","1","0","0","0","Asia","Laos","Indo-China","ASIA-TROPICAL",1.93400081419899,0.87486614124788
"1228","Calamus_opacus","SUM","Calamus","Calameae","Calamoideae",0.94,"0","0","1","0","0","0","Asia","Sumatera","Malesia","ASIA-TROPICAL",1.8327758587627,0.938594253922665
"1229","Calamus_optimus","BOR","Calamus","Calameae","Calamoideae",1.4,"0","0","1","0","0","0","Asia","Borneo","Malesia","ASIA-TROPICAL",0.76991382668168,0.799508810931711
"1230","Calamus_ornatus","JAW","Calamus","Calameae","Calamoideae",3,"0","0","1","0","0","0","Asia","Jawa","Malesia","ASIA-TROPICAL",0.76991382668168,0.827884101976689
"1231","Calamus_ornatus","BOR","Calamus","Calameae","Calamoideae",3,"0","0","1","0","0","0","Asia","Borneo","Malesia","ASIA-TROPICAL",0.76991382668168,0.827884101976689
