"","LEVEL_3_CO","LAT","LONG","accAfrica","max95FW_angios","curr_max95BodySize","mean_abs_BSchange","mean_perc_BSchange","MAT","TempSeas","AnnualPrec","PrecSeas","CH_Mean","accRealm"
"48","GHA",7.959643822,-1.207046189,"1",124.236926251447,70246.370749979,8605.33797468354,11.58,269.188236628003,1496.61547472063,69.3386836203293,1241.7872724372,15.0986,"Africa"
"49","GNB",12.0161983,-14.98748401,"1",125,81968.7366059476,3200.03286875726,2.38,276.252854832792,1362.3575436286,127.455073141467,1566.74389850287,12.481,"Africa"
"50","GUA",15.7023026,-90.3569493,"0",72.4685901216271,7275,265356.867560664,98.07,221.977211023323,1311.26410550376,66.0884741906413,2108.33394032354,21.3674,"Americas"
"51","GUI",10.43854094,-10.94182542,"1",120,72970.1956827038,519.085000000006,0.69,257.741597330213,1868.45164397251,96.5330703091948,1748.28767730192,14.8833,"Africa"
"52","GUY",4.792378272,-58.97416349,"0",75,7954.88961769081,148789.805617368,97.46,248.295926342666,558.626118178049,51.3794202106922,2181.33011137983,19.6961,"Americas"
"53","HAI",18.93894782,-72.68381472,"0",99.9371258630402,761.312147110936,12328.1883116883,96.88,246.526038830316,1286.44975664774,41.3088638342373,1359.87893368399,23.2712,"Americas"
"54","HAW",20.27437592,-156.3821794,"0",55.4006369821008,47.3,0,0,192.340470370153,1293.87406429816,29.01544027066,1671.37575111456,NA,"Pacific"
"55","HON",14.81591848,-86.62017081,"0",82.2465240098442,7275,265352.326223925,98.04,230.848913593501,1101.61464134825,61.8338906617466,1809.55435957418,25.696,"Americas"
"56","IND",21.72683329,78.38336127,"0",75.3554193406551,172376.706790868,75675.4657254902,47.17,260.235104891146,4221.21646813485,121.495346697093,1043.45520155645,18.7864,"Asia"
"57","IVO",7.631725302,-5.555499924,"1",115.29844692139,70000.3,8190.62289156626,11.37,258.954131223115,1318.17756474348,65.9795347904534,1279.42971053867,13.5669,"Africa"
"58","JAM",18.15133064,-77.31975081,"0",100.619224632564,513.875150081201,521.865714285714,68.98,252.523925030855,1008.4478648966,43.2624758138657,1725.23086079905,NA,"Americas"
"59","JAW",-7.288626257,110.0767173,"0",59.5460057596791,65939.3297710421,60717.0564943253,38,253.498946243917,408.91872367847,54.4772824133506,2596.89206500209,17.2098,"Asia"
"60","KEN",0.529780176,37.85786442,"1",77.0822072006569,71596.5394678466,21623.8422868093,26.39,245.23561479766,992.675247649849,80.2867973719744,631.524143367345,14.1131,"Africa"
"61","LAO",18.50245057,103.7634056,"0",70,32950.7229879636,64894.8121071159,59.59,226.778056196832,2567.34975491431,87.071759066669,1866.81329160816,26.0867,"Asia"
"62","LBR",6.448118463,-9.307846564,"1",109.648960707288,70741.1103144473,9064.28933333333,11.57,249.489122999319,845.851426968197,59.9833353879857,2558.73724955269,18.8533,"Africa"
"63","LEE",16.92097024,-62.28981026,"0",100,45.1657882817615,10430.8166666667,99.72,261.330923132609,1052.15456344476,35.8308447193353,1426.42317255097,9.92969,"Americas"
"64","LSI",-8.633678479,123.0810076,"0",59.7808530754381,8345.01132633461,32589.3005942275,93.24,252.935075807882,702.898830832238,72.7312632035494,1683.48967093311,19.5388,"Asia"
"65","MAU",-20.19561777,57.55522668,"1",100,456.3,-176.266666666667,-62.94,234.403915335627,1818.73624242252,50.8196589078151,1798.58838174274,NA,"Africa"
"66","MDG",-19.37352133,46.70599248,"0",38,5297.97808526158,7926.06108474576,83.62,225.047347497499,2012.11100387695,94.3765860173139,1485.68737534821,17.111,"Madagascar"
