"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
"ouwie_Afr_avgl_17"	"OUMA"	25809.2304103482	-51608.4608206965	-51608.431278599	-51580.3646536153	5	2.3e+07	1400	-5.3e+08	3.31333113648077	1.49424695148957	1e-09	1e-09	1.79175946922805	2.66661418928858e+48	5.89726643938919e-38	20223206280958283776
"ouwie_Afr_avgl_18"	"OUMA"	25603.1554572453	-51196.3109144905	-51196.281372393	-51168.2147474094	5	5.8e+09	9e+06	150	3.42473862452489	1.63802153340082	1e-09	1e-09	0.617721662257537	185818975905515	-8.2405732096604e-29	0
"ouwie_Afr_avgl_19"	"OUMA"	19766.1761972569	-39522.3523945139	-39522.3228524164	-39494.2562274327	5	9.8e+07	2e+07	-2800	0.34069577712958	0.5435326272185	1e-09	1e-09	-4630351.78892672	0	5.20992939187695	0
"ouwie_Afr_avgl_19"	"OUMVA"	21974.8644758348	-43937.7289516695	-43937.6875723592	-43904.0135511721	6	1700	79	10	2.66233616341654	0.0633552802189215	1e-09	1.03019508874065e-08	1.79175946922805	1.34893263961442e+54	-4.26555088967816e-60	0
"ouwie_Afr_avgl_2"	"OUMA"	25825.6640394702	-51641.3280789404	-51641.2985368429	-51613.2319118593	5	6.1e+09	8800000	1500	3.3201073715874	1.61511692462196	1e-09	1e-09	1.79175946922805	1.566186926315e+34	-3.22278995045653e-42	0
"ouwie_Afr_avgl_20"	"OUMA"	24917.8968619756	-49825.7937239511	-49825.7641818536	-49797.69755687	5	4e+09	870	-5.2e+08	3.33697239583241	1.03299599745151	1.00178258008917e-09	1.00178258008917e-09	1.79175946922805	6.44651795188022e+57	6.79577440888102e-26	8.78674329458535e+30
"ouwie_Afr_avgl_20"	"OUMVA"	26410.5053379185	-52809.010675837	-52808.9692965266	-52775.2952753396	6	5.6e+09	980	41	1.49838522901439	8.74923694854614e-08	1e-09	0.0271707608493524	1.79175946922805	1.12757426595479e+36	-9.64090701546741e-47	2.03851472806034e-10
"ouwie_Afr_avgl_21"	"OUMVA"	25567.6272434899	-51123.2544869799	-51123.2131076695	-51089.5390864825	6	1700	100	24	3.21232426044471	1.3834464768688	1.01617618870185e-09	1.00426102284032e-09	1.79175946922805	2.09433711618134e+47	-2.71845143220215e-20	0
"ouwie_Afr_avgl_21"	"OUMA"	25673.8979866952	-51337.7959733904	-51337.766431293	-51309.6998063093	5	6.3e+09	1e+07	1400	3.24709490921149	1.44167487850067	1e-09	1e-09	1.79175946922805	4.41992926335868e+46	-1.51782579411427e-24	0
"ouwie_Afr_avgl_22"	"OUMA"	16601.7767414991	-33193.5534829981	-33193.5239409007	-33165.457315917	5	3e+06	76000	3400	4.52516103067989e-05	0.217315870509044	1e-09	1e-09	-796388.537479128	0	-3.34986137540149	0
