"","area","meanFW_angios","medianFW_angios","max95FW_angios","X","LAT","LONG","accAfrica","max95FL_palms","curr_max95BodySize","mean_abs_BSchange","presNat_max95BodySize","mean_perc_BSchange","MAT","TempSeas","AnnualPrec","PrecSeas","CH_Mean","CH_PercCover","accRealm","log_max95FL_palms_BBM_MCC","log_max95FL_palms_BBMmean","LEVEL_3_CO","sqrt_change"
"11","Belize",2.21500537634409,1.2,8.00883084647388,11,17.21852829,-88.68278545,0,4.28467596924609,9727.74125747406,366.257399415205,1e+06,98.07,251.040023517206,1418.94056049763,52.5302328513938,2074.08955168166,20.5542,0.811592036,"Americas",1.375,1.152,"BLZ",19.137852528829
"12","Bolivia",2.41523095238095,1.5,7.5,12,-16.71510989,-64.67054847,0,7.60799408303112,13900.2341273668,233.772046221562,1615155.803517,98.33,197.00581864323,1874.36939953664,75.2193887780903,1204.93912655683,17.5065,0.404208085,"Americas",1.33675,1.20275,"BOL",15.2896058229623
"13","Borneo",2.44250439882698,1.53,6.86,13,0.867901314,114.2000407,0,4.71849375432879,15925.8,0.281960726072604,44074.2943853254,0.59,253.720005666328,301.359673044541,22.2509350352529,3102.45100372762,17.9902,0.918963442,"Asia",1.30645,1.0079,"BOR",0.530999742064536
"14","Burundi",2.27834161490683,1.25,7,14,-3.356297118,29.88682139,1,10.2598483986732,72373.2055050031,3.8876439576312,95087.1904888756,4.6,200.521962473827,1010.86470870296,61.7650375707429,1225.50856820036,15.2743,0.051225817,"Africa",1.1932,1.1182,"BUR",1.97171092141602
"15","Brazil West-Central",2.28322115384615,1.4305,6.90349734010404,15,-15.29798685,-54.29443591,0,6.78748186266905,7863.04663173767,213.581726278024,1175537.86478312,98.39,246.211415777283,1247.87514949075,71.1477816573725,1660.23383308064,16.0749,0.209899662,"Americas",1.396,1.1482,"BZC",14.6144355442837
"16","Brazil Northeast",2.37531488549618,1.5,7.71320877612863,16,-8.635173197,-41.72952595,0,9,11310.5402994425,208.627931760123,1143251.84709815,98.19,258.283205385107,1147.39409797981,79.1875610696953,1019.5779549055,14.0524,0.089053627,"Americas",1.3616,1.2108,"BZE",14.4439583134307
"17","Brazil Southeast",2.22829757785467,1.37,7,17,-19.72534419,-45.48097446,0,8.56182225465505,15259.4671185544,213.742890538194,1277970.28287323,98.2,223.305148352007,1820.47777640259,72.7001495835786,1304.30602815487,20.0023,0.068642144,"Americas",1.3825,1.1725,"BZL",14.6199483767281
"18","Brazil North",2.82933935742972,1.705,8.25,18,-4.63062382,-59.25073898,0,7.5,6770.89667047173,108.530701433546,150000,97.66,253.975265084362,613.972677792161,53.4209461760472,2251.14443088801,17.3043,0.816585191,"Americas",1.34325,1.23025,"BZN",10.4178069397329
"19","Brazil South",1.91556476683938,1.1165,5.72925529604628,19,-27.56813717,-52.26178711,0,5.5,23023.6501246001,358.449396485334,2535142.60156185,98.22,190.665739157734,3434.67351129792,18.8660160219018,1648.49378046188,23.4013,0.236725923,"Americas",1.3836,1.1206,"BZS",18.9327598750244
"20","Cabinda",5.06616129032258,4.1,12,20,-5.041229577,12.46228731,1,7.97700711185106,71867.0516149728,0,71741.0672172266,0,245.219664484008,1438.64580419445,78.0129771166232,1177.60073260073,17.7889,0.788158274,"Africa",1.262,0.9788,"CAB",0
"21","Central African Repu",3.83496370967742,2.8215,10.5761407933174,21,6.571453422,20.48278081,1,11.6596998943569,83889.7722346596,9.06724337025316,83889.7722346596,10.83,248.802501209612,1414.88447624558,77.3803831526867,1366.95275192841,18.2812,0.105557872,"Africa",1.2817,1.1134,"CAF",3.01118637255371
"22","Cambodia",1.88293309859155,1.15,5.5,22,12.71402994,104.9212396,0,7.04846199441542,91659.7352002298,33.3648239007664,623904.738375505,26.94,268.595690464552,1020.16430959248,80.7674816141408,1872.27202007183,18.1,0.416536693,"Asia",1.2944,1.1581,"CBD",5.77622921123863
