"LEVEL_3_CO","area","accRealm","sp_richness_palms","meanFL_palms","medianFL_palms","max95FL_palms","meanFL_palms_filled","medianFL_palms_filled","max95FL_palms_filled","log_meanFL_palms_BBMmean","log_medianFL_palms_BBMmean","log_max95FL_palms_BBMmean","log_meanFL_palms_BBM_MCC","log_medianFL_palms_BBM_MCC","log_max95FL_palms_BBM_MCC","sp_richness_angios","meanFW_angios","medianFW_angios","max95FW_angios","meanSL_angios","medianSL_angios","max95SL_angios","curr_meanBodySize","curr_medianBodySize","curr_max95BodySize","curr_sdBodySize","sp_richness_curr","sp_richness_curr_meso","sp_richness_curr_mega","presNat_meanBodySize","presNat_medianBodySize","presNat_max95BodySize","presNat_sdBodySize","sp_richness_PresNat","sp_richness_presNat_meso","sp_richness_presNat_mega","mean_perc_BSchange","median_perc_BSchange","max95_perc_BSchange","mean_abs_BSchange","median_abs_BSchange","max95_abs_BSchange","LEVEL_NAME","LAT","LONG","REALM_LONG","CONTINENT","X_COORD","Y_COORD","ISISLAND","PalmPresAbs","CH_Mean","CH_PercCover","bio1_mean","bio4_mean","bio15_mean","bio12_mean"
"BEN",NA,NA,13,6.17307692307692,7,13.1203448873193,6.17307692307692,7,13.1203448873193,1.00547120091266,1.00883472847662,1.13433724526244,1.39283662936653,1.32665108158126,2.98674035073639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIS","Bismarck Archipelago","Asia",19,2.19052631578947,1.25,5.30270240807009,2.19052631578947,1.25,5.30270240807009,0.768783193795002,0.763690820596248,0.954130888691554,2.47475518139811,2.89563789084373,3.56372259672323,130,22.7204367815862,14.2,58.5624000886996,13.9053773584906,9.6,40,801.3,188.7,4019.96753350336,1.65887593382997,27,0,0,800.407407407407,180,4019.96753350336,1.65895998463399,27,0,0,-0.11,-4.83,0,-0.892592592592678,-8.69999999999999,0,"Bismarck Archipelago",-4.936891376,150.6265362,"Australasia","ASIA-TROPICAL",14533423.54,-628731.5466,1,1,23.1695,0.541679884,243.609322815616,329.340476820183,33.0495073451021,4267.12986172298
"BKN","Burkina","Africa",6,7.65,7.75,14.1861241350476,7.65,7.75,14.1861241350476,1.01999877741235,0.990693148956063,1.13629095382619,1.59658429607803,1.40256979815848,3.19931275715259,119,38.3422018348624,18,122.975474292468,15.2578846155769,11,51.2194540797761,140961.747058824,3400,75854.2213014612,2.75522743563907,34,13,3,354792.252777778,3975,1190671.72863331,3.20910299604579,36,16,6,60.27,14.47,93.63,213830.505718954,575,1114817.50733185,"Burkina",12.27793715,-1.739835211,"Afrotropics","AFRICA",-168178.3106,1553710.855,0,1,2.03509,0.01089305,283.32903146042,2484.15419893871,115.584520888626,773.936797670944
"BLZ","Belize","Americas",40,1.5805,1.2,4.28467596924609,1.5805,1.2,4.28467596924609,0.965713589462373,0.968597635437436,1.15173455485395,1.82265336321908,2.18706320278971,3.65735568050179,200,22.1663664875269,11.875,74.3901007072543,10.7988888888426,6.95,29.284251400041,7207.85614035088,49.4,9727.74125747406,2.70883911202722,57,3,1,373465.255555556,60.5,1e+06,3.80774138383507,63,9,7,98.07,18.35,99.03,366257.399415205,11.1,990272.258742525,"Belize",17.21852829,-88.68278545,"Neotropics","SOUTHERN AMERICA",-8556716.839,2164161.333,0,1,20.5542,0.811592036,251.040023517206,1418.94056049763,52.5302328513938,2074.08955168166
"BLZ",NA,NA,40,1.5805,1.2,4.28467596924609,1.5805,1.2,4.28467596924609,0.965713589462373,0.968597635437436,1.15173455485395,1.82265336321908,2.18706320278971,3.65735568050179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOL","Bolivia","Americas",78,2.73417660970513,1.9,7.60799408303112,2.73417660970513,1.9,7.60799408303112,0.996644922907912,0.998135848246551,1.20278682029963,2.09167814862859,2.33890063594414,3.71302940599175,439,24.657613889019,15,75.0042477137673,12.4594007490787,10,30.6965496073949,3969.88497109827,65.7,13900.2341273668,2.3858810000831,173,10,3,237741.931192661,138,1615155.803517,3.91523143101117,218,55,45,98.33,52.39,99.14,233772.046221562,72.3,1601255.56938964,"Bolivia",-16.71510989,-64.67054847,"Neotropics","SOUTHERN AMERICA",-6240407.203,-2094955.191,0,1,17.5065,0.404208085,197.00581864323,1874.36939953664,75.2193887780903,1204.93912655683
"BOL",NA,NA,78,2.73417660970513,1.9,7.60799408303112,2.73417660970513,1.9,7.60799408303112,0.996644922907912,0.998135848246551,1.20278682029963,2.09167814862859,2.33890063594414,3.71302940599175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOR","Borneo","Asia",252,1.91041666666667,1.5,4.71849375432879,1.91041666666667,1.5,4.71849375432879,0.840039403273278,0.841141410087866,1.00776484045362,1.91331396814753,2.08583824735342,3.75605001205218,361,24.645194444386,15.35,70,14.343074999895,10,42.4310691231935,47240.0059405941,278,15925.8,2.35782422825852,101,7,5,47521.9666666667,300.95,44074.2943853254,2.39747911444337,102,8,6,0.59,7.63,63.87,281.960726072604,22.95,28148.4943853254,"Borneo",0.867901314,114.2000407,"IndoMalay","ASIA-TROPICAL",11018599.57,110314.8227,1,1,17.9902,0.918963442,253.720005666328,301.359673044541,22.2509350352529,3102.45100372762
"BOR",NA,NA,252,1.91041666666667,1.5,4.71849375432879,1.91041666666667,1.5,4.71849375432879,0.840039403273278,0.841141410087866,1.00776484045362,1.91331396814753,2.08583824735342,3.75605001205218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOT","Botswana","Africa",2,4.2,4.2,6.11230995044038,4.2,4.2,6.11230995044038,1.05325833986671,1.05325833986671,1.12924364793552,1.37726355929941,1.37726355929941,1.78722462881637,128,32.3863821138049,12.5,129.49112929492,8.56946428607143,7.5,19.2759092930567,125572.938636364,281.4,155617.068867759,3.246676348338,44,11,6,145549.476923077,529,241865.237136926,3.56999688119899,52,20,13,13.72,46.81,35.66,19976.5382867133,247.6,86248.1682691668,"Botswana",-22.18204202,23.8150775,"Afrotropics","AFRICA",2298318.81,-2755904.369,0,1,2.80454,0.001957328,215.712520101757,4405.38883103137,92.6682499354557,390.64407079258
"BUR","Burundi","Africa",5,5.38,4.25,10.2598483986732,5.38,4.25,10.2598483986732,0.987343934275347,0.968830219790264,1.11787027308224,0.638321384614505,0.921751259836112,1.75179589441367,172,25.3065217390994,12.91666667,80,9.43978723431915,7,22.6537319594139,80678.2709677419,625,72373.2055050031,2.90962909907179,62,15,5,84565.9149253731,1650,95087.1904888756,3.07875903537638,67,21,9,4.6,62.12,23.89,3887.6439576312,1025,22713.9849838725,"Burundi",-3.356297118,29.88682139,"Afrotropics","AFRICA",2883672.738,-427886.1684,0,1,15.2743,0.051225817,200.521962473827,1010.86470870296,61.7650375707429,1225.50856820036
"BZC","Brazil West-Central","Americas",65,3.20399427169231,2.6,6.78748186266905,3.20399427169231,2.6,6.78748186266905,0.958897078814115,0.937663916511354,1.14838534017324,1.49951215932631,1.42787603701755,3.39164017248154,431,22.9932419872404,14.416666665,69.0349734010404,11.4499442378885,9,28.3393212265328,3501.89127516779,91.1,7863.04663173767,2.42377719350073,149,7,2,217083.617553191,201,1175537.86478312,3.85669652296991,188,46,38,98.39,54.68,99.33,213581.726278024,109.9,1167674.81815138,"Brazil West-Central",-15.29798685,-54.29443591,"Neotropics","SOUTHERN AMERICA",-5239575.512,-1917581.624,0,1,16.0749,0.209899662,246.211415777283,1247.87514949075,71.1477816573725,1660.23383308064
"BZC",NA,NA,65,3.20399427169231,2.6,6.78748186266905,3.20399427169231,2.6,6.78748186266905,0.958897078814115,0.937663916511354,1.14838534017324,1.49951215932631,1.42787603701755,3.39164017248154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZE","Brazil Northeast","Americas",77,3.59128558967532,2.75,9,3.59128558967532,2.75,9,0.985685033930244,0.95813133956019,1.21109008169558,1.3253364717704,1.17481364842683,3.36127268585065,540,23.8013937659332,15,74.5406955828963,12.6412232415321,10,31.1747890428286,3852.18872180451,200.2,11310.5402994425,2.4536693360569,133,7,2,212480.120481928,285,1143251.84709815,3.74388747528925,166,39,31,98.19,29.75,99.01,208627.931760123,84.8,1131941.30679871,"Brazil Northeast",-8.635173197,-41.72952595,"Neotropics","SOUTHERN AMERICA",-4026549.239,-1090987.589,0,1,14.0524,0.089053627,258.283205385107,1147.39409797981,79.1875610696953,1019.5779549055
"BZE",NA,NA,77,3.59128558967532,2.75,9,3.59128558967532,2.75,9,0.985685033930244,0.95813133956019,1.21109008169558,1.3253364717704,1.17481364842683,3.36127268585065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZL","Brazil Southeast","Americas",76,3.42610513690789,2.65,8.56182225465505,3.42610513690789,2.65,8.56182225465505,0.965212921039707,0.963015610969572,1.17222523633807,1.16948601919334,0.947057498695184,3.3764564291661,596,22.3140259515986,13.7,70,11.9441335101088,9.9,29.2457978726684,3911.90390625,182.5,15259.4671185544,2.33279931093571,128,8,2,217654.794444444,226.8,1277970.28287323,3.69794742490617,162,40,31,98.2,19.53,98.81,213742.890538194,44.3,1262710.81575467,"Brazil Southeast",-19.72534419,-45.48097446,"Neotropics","SOUTHERN AMERICA",-4386520.132,-2461682.954,0,1,20.0023,0.068642144,223.305148352007,1820.47777640259,72.7001495835786,1304.30602815487
"BZL",NA,NA,76,3.42610513690789,2.65,8.56182225465505,3.42610513690789,2.65,8.56182225465505,0.965212921039707,0.963015610969572,1.17222523633807,1.16948601919334,0.947057498695184,3.3764564291661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZN","Brazil North","Americas",156,3.04804365616667,2.25,7.5,3.04804365616667,2.25,7.5,1.02296870068692,1.05302575551389,1.23048761672141,1.84834892882983,1.98461329191714,3.61686569832728,516,28.4987489958795,17.716,82.5,14.2792102395882,11,37.1192400287982,2598.81028806584,248.8,6770.89667047173,2.2693013495171,243,8,2,111129.511721612,295,150000,3.17757147091577,273,38,29,97.66,15.66,95.49,108530.701433546,46.2,143229.103329528,"Brazil North",-4.63062382,-59.25073898,"Neotropics","SOUTHERN AMERICA",-5716995.352,-585822.5237,0,1,17.3043,0.816585191,253.975265084362,613.972677792161,53.4209461760472,2251.14443088801
"BZS","Brazil South","Americas",25,2.4897851064,2.05,5.5,2.4897851064,2.05,5.5,0.946967290624461,0.923708855341693,1.12056825157504,2.37331712079248,2.79441293540744,3.59409008335412,401,19.3352512953782,11.3,58.9771733475287,11.0255927229577,8.275,31.2123718673925,6495.77323943662,112,23023.6501246001,2.61479335381937,71,8,2,364945.169724771,636,2535142.60156185,4.14694411591051,109,45,36,98.22,82.39,99.09,358449.396485334,524,2512118.95143725,"Brazil South",-27.56813717,-52.26178711,"Neotropics","SOUTHERN AMERICA",-5040983.085,-3376062.25,0,1,23.4013,0.236725923,190.665739157734,3434.67351129792,18.8660160219018,1648.49378046188
"CAB","Cabinda","Africa",13,4.14615384615385,3,7.97700711185106,4.14615384615385,3,7.97700711185106,0.903456125541621,0.936733579100043,0.978598762609026,1.63811248292369,1.73155090332642,3.46249764128694,95,50.6186379939785,41,120,21.9334459458513,16,50,105402.210869565,635.75,71867.0516149728,2.75242628733443,46,12,4,103841.963829787,650,71741.0672172266,2.79216390902236,47,13,4,-1.5,2.19,-0.18,-1560.24703977798,14.25,-125.984397746259,"Cabinda",-5.041229577,12.46228731,"Afrotropics","AFRICA",1202446.623,-642282.6399,0,1,17.7889,0.788158274,245.219664484008,1438.64580419445,78.0129771166232,1177.60073260073
"CAF","Central African Repu","Africa",22,4.70681818181818,2.925,11.8286262402818,4.70681818181818,2.925,11.8286262402818,0.969274244463844,0.980459437431648,1.11445128309567,1.41407263400351,1.70624466446734,2.64257550225301,262,42.4402275774297,29.5,120,18.7712068964483,14.00000001,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAF",NA,NA,22,4.70681818181818,2.925,11.8286262402818,4.70681818181818,2.925,11.8286262402818,0.969274244463844,0.980459437431648,1.11445128309567,1.41407263400351,1.70624466446734,2.64257550225301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
