"","LEVEL_3_CO","LAT","LONG","accAfrica","max95FL_palms","log_max95FL_palms_BBMmean","log_medianFL_palms_BBM_MCC","curr_max95BodySize","mean_abs_BSchange","presNat_max95BodySize","max95_abs_BSchange","MAT","TempSeas","AnnualPrec","PrecSeas","CH_Mean","CH_PercCover","accRealm"
"19","BZS",-27.56813717,-52.26178711,"0",5.5,1.12056825157504,2.79441293540744,23023.6501246001,358449.396485334,2535142.60156185,2512118.95143725,190.665739157734,3434.67351129792,18.8660160219018,1648.49378046188,23.4013,0.236725923,"Americas"
"20","CAB",-5.041229577,12.46228731,"1",7.97700711185106,0.978598762609026,1.73155090332642,71867.0516149728,-1560.24703977798,71741.0672172266,-125.984397746259,245.219664484008,1438.64580419445,78.0129771166232,1177.60073260073,17.7889,0.788158274,"Africa"
"21","CAF",6.571453422,20.48278081,"1",11.6596998943569,1.11359072099021,1.68093842560827,83889.7722346596,9067.24337025316,83889.7722346596,0,248.802501209612,1414.88447624558,77.3803831526867,1366.95275192841,18.2812,0.105557872,"Africa"
"22","CBD",12.71402994,104.9212396,"0",7.04846199441542,1.1577352311569,1.57971347017198,91659.7352002298,33364.8239007664,623904.738375505,532245.003175275,268.595690464552,1020.16430959248,80.7674816141408,1872.27202007183,18.1,0.416536693,"Asia"
"23","CHA",15.3611457,18.66460339,"1",10.81500555133,1.11177656303815,0.213176571782096,191812.070895295,194309.164646465,1190671.72863331,998859.657738018,267.577533293769,4154.49110308508,173.000524973391,313.178029766123,2.82206,0.015624481,"Africa"
"24","CHC",28.51736916,104.6408898,"0",5.25883094332759,1.11626544104773,1.60501970903106,24603.8451570016,247711.160327924,1395645.54601746,1371041.70086045,127.09690789638,6189.89963236594,78.5094860966299,1060.72638370717,28.9272,0.388385862,"Asia"
"25","CHH",19.20103623,109.7420098,"0",3,1.12401049999689,1.68093842560827,48093.4423706989,32.8060846560838,44862.1101614122,-3231.33220928673,239.698806011743,3337.34151342399,72.9127790288089,1738.73914704618,24.293,0.295861167,"Asia"
"26","CHS",28.08959356,114.4271369,"0",3.1663041568704,1.12140555524522,1.68093842560827,12112.4416288295,333747.747619048,1784770.34341762,1772657.90178879,178.508702926194,7469.62552970945,61.8171205118176,1419.94933789776,24.4796,0.341456831,"Asia"
"27","CHT",31.712301,88.11841654,"0",2.91906703057529,1.03325608552353,2.33890063594414,173517.20266258,169460.360402901,1727011.61309965,1553494.41043707,-30.1274360524684,7417.20862268449,113.884286342241,410.973244758223,33.7216,0.009985363,"Asia"
"28","CLM",3.899947514,-73.07536081,"0",7.5,1.2057871584511,2.44012559138043,9669.13724184967,65478.4814162234,105540.662099485,95871.5248576352,232.239870476894,471.329934089856,41.3464568454686,2856.97136703341,16.781,0.649436837,"Americas"
"29","CMN",5.68580436,12.7432535,"1",8.84915568068481,1.12317319632671,1.68093842560827,53199.6612715503,8384.11866308471,71114.4502934975,17914.7890219472,237.437959835421,1279.36973300731,74.8607770747388,1677.18242620264,20.1702,0.49465377,"Africa"
"30","COM",-12.08514902,43.97955695,"1",7.56962447247576,1.10547352707653,2.08583824735342,573.803827013436,0,573.803827013436,0,242.32128673799,1117.12336596123,64.4212179447069,2125.92483006797,20.6124,0.046203764,"Africa"
"31","CON",-0.840066027,15.22427459,"1",8.96204955486414,1.12442915183199,1.25073236500405,61790.5638811547,7904.90348837209,71867.0516149728,10076.4877338181,239.042940665642,671.174103099601,50.5334822258762,1600.31817730419,18.6136,0.714426131,"Africa"
"32","COS",9.97052135,-84.18903867,"0",3.49698836536212,1.20220535941756,2.23767568050786,7086.55354990745,250956.485945399,109939.952585892,102853.399035985,233.88231580553,505.85485382796,55.6118466012729,3073.27060203542,21.6611,0.443642093,"Americas"
"33","CRL",7.212482218,146.7096536,"0",8.88085964645451,0.838303880983369,3.30053771258888,319.256567692974,36.9928571428572,410.418722645179,91.1621549522043,271.822392285086,151.562787600039,19.2951498148843,4360.65943600868,NA,NA,"Pacific"
"34","CUB",21.62013286,-79.0352374,"0",2.5,1.20439165233414,2.54135054681672,6628.90803467998,13924.0333333333,87271.8697164438,80642.9616817638,251.387233137961,1713.18195316874,57.6989871585487,1322.52640446979,24.0513,0.174888407,"Americas"
"35","DJI",11.7498128,42.5779403,"1",5.0884213032821,1.17841198012329,2.79441293540744,52951.9356695902,729687.28125,4946418.75903601,4893466.82336642,280.546252942991,3423.05651889839,62.3749715763881,183.208470201783,NA,NA,"Africa"
"36","DOM",18.89309386,-70.48543447,"0",3.00758935343027,1.21202041910689,2.38951311366229,761.312147110936,12328.1883116883,50703.2509226259,49941.9387755149,239.736046538071,1259.02765658595,41.7986776712714,1368.31837434449,19.8836,0.342853271,"Americas"
"37","ECU",-1.452912352,-78.39320786,"0",7,1.18455220703794,2.59196302453486,9762.09538028478,80325.6331042832,141307.886574468,131545.791194183,202.379744344183,504.3085097822,49.7991191381324,2200.64101129223,19.4683,0.625712647,"Americas"
"38","EHM",27.77772472,92.89621011,"0",5.68063488599444,1.1414078095884,1.68093842560827,99822.1643755778,155534.657255639,1652542.44165727,1552720.27728169,122.429928868982,5082.93779918485,83.2062151759797,2452.89420536807,39.0494,0.657353103,"Asia"
"39","ELS",13.73614532,-88.86560674,"0",4.96343083271947,1.12677825379554,2.41481935252136,7520.95419898746,384589.249259259,1229358.70321977,1221837.74902078,251.122536410629,709.173120211812,94.4596031916205,1550.62517663208,23.4014,0.145759525,"Americas"
"40","EQG",1.567924247,10.47599925,"1",5.96419392262606,1.01083495391094,2.288288158226,55921.6483506246,0,55921.6483506246,0,230.464168796013,645.228647424704,57.6528684390153,2486.74670193761,20.609,0.949684076,"Africa"
"41","ETH",8.626139271,39.61601894,"1",11.2002774747975,1.12633634352517,0.567463915809104,90439.2215406529,138799.669525424,373691.619229758,283252.397689106,226.384196528598,1389.29004192295,90.3556423905394,862.069120016298,15.7477,0.043358599,"Africa"
"42","FIJ",-17.46392922,160.792175,"0",6.54443913303928,0.926499867575625,3.30053771258888,297.064599560242,0,297.064599560242,0,242.226429580827,1146.51809385732,47.9826525445361,2472.72123068089,NA,NA,"Pacific"
"43","FLA",28.65142195,-82.48405094,"0",2.02484567313166,1.12163813959805,2.23767568050786,29321.6017127407,998821.460769231,8138668.30203883,8109346.70032609,214.867061188943,4544.03109851937,44.0860547713205,1372.25299098719,20.1819,0.117579076,"Americas"
"44","FRG",3.924388201,-53.24126696,"0",5.78892549780383,1.23874436124679,1.80746961990363,11264.2823565827,168848.017129463,714830.080711886,703565.798355304,255.29744129911,772.158441912077,46.4555291247702,2672.84311120722,22.8616,0.954636045,"Americas"
"45","GAB",-0.590677968,11.79715762,"1",7.68672940155047,1.05604935210065,1.57971347017198,51888.7631273592,8271.47471306923,70865.3386891365,18976.5755617773,237.483831177709,726.273413640247,62.915111990259,1840.32471650119,20.7917,0.904296881,"Africa"
"46","GAM",13.4529444,-15.3856196,"1",10.5428691051437,1.13517454893262,1.40256979815848,75854.2213014612,129406.520588235,172612.874952643,96758.6536511821,280.928066598117,1611.90013075357,136.581123119626,801.647349048477,4.01763,0.121901368,"Africa"
"47","GGI",2.369331633,7.97621565,"1",10.8505733773608,1.05372350857237,0.972363737554256,13263.779943905,0,13263.779943905,0,231.558580698745,997.399013332965,62.4093101248677,2360.31505284205,20.1848,0.511858599,"Africa"
"48","GHA",7.959643822,-1.207046189,"1",9.53301456943931,1.13322084036887,1.17481364842683,70246.370749979,8605.33797468354,73443.1368969794,3196.76614700041,269.188236628003,1496.61547472063,69.3386836203293,1241.7872724372,15.0986,0.232468628,"Africa"
"49","GNB",12.0161983,-14.98748401,"1",13.7191515578198,1.11498622710718,0.415626482654672,81968.7366059476,3200.03286875726,82500,531.263394052425,276.252854832792,1362.3575436286,127.455073141467,1566.74389850287,12.481,0.096737983,"Africa"
"50","GUA",15.7023026,-90.3569493,"0",3.5,1.12256847700936,1.88338833648085,7275,265356.867560664,192025.097099282,184750.097099282,221.977211023323,1311.26410550376,66.0884741906413,2108.33394032354,21.3674,0.609468784,"Americas"
"51","GUI",10.43854094,-10.94182542,"1",10.3923048454133,1.13489544770923,1.32665108158126,72970.1956827038,519.085000000006,72970.1956827038,0,257.741597330213,1868.45164397251,96.5330703091948,1748.28767730192,14.8833,0.063093167,"Africa"
"52","GUY",4.792378272,-58.97416349,"0",6.83646770156013,1.23972121552867,2.13645072507157,7954.88961769081,148789.805617368,407915.935162133,399961.045544443,248.295926342666,558.626118178049,51.3794202106922,2181.33011137983,19.6961,0.895810055,"Americas"
"53","HAI",18.93894782,-72.68381472,"0",3.67571625187518,1.21220648658915,2.23767568050786,761.312147110936,12328.1883116883,50703.2509226259,49941.9387755149,246.526038830316,1286.44975664774,41.3088638342373,1359.87893368399,23.2712,0.064332411,"Americas"
"54","HAW",20.27437592,-156.3821794,"0",4.75,1.08233138397017,3.62951881775682,47.3,0,47.3,0,192.340470370153,1293.87406429816,29.01544027066,1671.37575111456,NA,NA,"Pacific"
"55","HON",14.81591848,-86.62017081,"0",4.31963486151409,1.15401388151167,1.93400081419899,7275,265352.326223925,192025.097099282,184750.097099282,230.848913593501,1101.61464134825,61.8338906617466,1809.55435957418,25.696,0.603868726,"Americas"
"56","IND",21.72683329,78.38336127,"0",4.11350371403892,1.189738838106,1.40256979815848,172376.706790868,75675.4657254902,708441.841208677,536065.134417809,260.235104891146,4221.21646813485,121.495346697093,1043.45520155645,18.7864,0.040476591,"Asia"
"57","IVO",7.631725302,-5.555499924,"1",12.8308151998943,1.13377904281566,1.17481364842683,70000.3,8190.62289156626,72246.3338092311,2246.03380923114,258.954131223115,1318.17756474348,65.9795347904534,1279.42971053867,13.5669,0.372295536,"Africa"
"58","JAM",18.15133064,-77.31975081,"0",2.65983672482157,1.18424984737926,1.63032594789013,513.875150081201,521.865714285714,3119.84236545334,2605.96721537214,252.523925030855,1008.4478648966,43.2624758138657,1725.23086079905,NA,NA,"Americas"
"59","JAW",-7.288626257,110.0767173,"0",4.83556469320594,1.06000328609871,1.45318227587662,65939.3297710421,60717.0564943253,1276172.77576851,1210233.44599747,253.498946243917,408.91872367847,54.4772824133506,2596.89206500209,17.2098,0.461398351,"Asia"
"60","KEN",0.529780176,37.85786442,"1",10.8206300721613,1.10796217965178,0.567463915809104,71596.5394678466,21623.8422868093,87467.4936303788,15870.9541625323,245.23561479766,992.675247649849,80.2867973719744,631.524143367345,14.1131,0.028665851,"Africa"
"61","LAO",18.50245057,103.7634056,"0",7.32106285001026,1.13954713476578,1.63032594789013,32950.7229879636,64894.8121071159,609655.478060085,576704.755072122,226.778056196832,2567.34975491431,87.071759066669,1866.81329160816,26.0867,0.85863257,"Asia"
"62","LBR",6.448118463,-9.307846564,"1",8.83670003111144,1.07328385264518,1.50379475359477,70741.1103144473,9064.28933333333,75365.7537734392,4624.64345899189,249.489122999319,845.851426968197,59.9833353879857,2558.73724955269,18.8533,0.972675344,"Africa"
"63","LEE",16.92097024,-62.28981026,"0",5.13757537062896,1.08421531722808,1.09889493184962,45.1657882817615,10430.8166666667,9514.64293354081,9469.47714525904,261.330923132609,1052.15456344476,35.8308447193353,1426.42317255097,9.92969,0.020722033,"Americas"
"64","LSI",-8.633678479,123.0810076,"0",13.1950791077289,1.17006220185677,3.0980878017163,8345.01132633461,32589.3005942275,22594.6041514218,14249.5928250871,252.935075807882,702.898830832238,72.7312632035494,1683.48967093311,19.5388,0.298834389,"Asia"
"65","MAU",-20.19561777,57.55522668,"1",5.91815895190149,1.07907520303058,1.98461329191714,456.3,-176.266666666667,430.303207822507,-25.9967921774929,234.403915335627,1818.73624242252,50.8196589078151,1798.58838174274,NA,NA,"Africa"
"66","MDG",-19.37352133,46.70599248,"0",4.88591184330391,0.960503699959033,2.06053200849435,5297.97808526158,7926.06108474576,46199.351580301,40901.3734950394,225.047347497499,2012.11100387695,94.3765860173139,1485.68737534821,17.111,0.208859859,"Africa"
"67","MLI",17.35036933,-3.524336718,"1",14.5062366160245,1.12442915183199,0.491545199231888,191812.070895295,204802.049264069,1307191.54462908,1115379.47373379,288.745646049441,4744.27650295199,133.103222793088,310.327877317456,2.83576,0.007066582,"Africa"
"68","MLW",-13.21510424,34.30698504,"1",10.9233852181565,1.11787027308224,0.921751259836112,86600.3999999999,18364.9905014465,139355.514145875,52755.1141458753,215.465178529129,2257.28599775341,102.499907424227,1109.12143810126,17.6757,0.030076454,"Africa"
"69","MLY",4.028255407,102.1784344,"0",5,1.04307114521286,2.08583824735342,58459.8697152486,43896.8074853801,361543.737150388,303083.867435139,258.664968339659,587.996085468191,36.4057527960273,2531.35050250442,25.4881,0.806114983,"Asia"
"70","MOL",-1.420611904,127.990452,"0",5.25648519319014,1.05188609218503,2.84502541312558,5980.95640275233,83.0833487511568,6048.84133614827,67.8849333959397,250.490376395676,411.171683193676,28.5134523331142,2384.66037735849,23.4708,0.517783719,"Asia"
"71","MOZ",-17.26019707,35.55225318,"1",10.6356597194411,1.10300813293655,0.567463915809104,85972.5890372094,18442.2067208904,131713.896786347,45741.3077491375,235.332848031401,2330.35013921843,94.8149447608494,1019.63658917721,14.2031,0.013883503,"Africa"
"72","MXC",19.13109566,-98.58581279,"0",1.71907001087358,1.06518991716678,1.8327758587627,5636.35231300245,353346.418212766,1067024.63399903,1061388.28168603,173.113508114143,1812.84606840347,87.8572895061686,964.901574130567,21.1099,0.202325543,"Americas"
"73","MXE",25.85227543,-103.0607542,"0",2.02034986881096,1.10784588747537,2.84502541312558,6974.84972106915,317389.645419809,1103765.77582367,1096790.9261026,187.507777354559,4580.86302519893,80.5937933804489,527.381987407077,22.3813,0.106356352,"Americas"
"74","MXG",19.37738436,-96.405429,"0",3.5,1.14547803576289,1.90869457533992,7309.63762104665,333061.10275,1039691.91691048,1032382.27928944,240.550287534029,2320.31629542697,72.8889956299249,1735.51133661733,25.8423,0.164330322,"Americas"
"75","MXN",28.4912303,-111.3789827,"0",2.17370651192842,1.0951235233757,2.99686284628002,5014.48527530503,357971.556135383,1262693.3101638,1257678.8248885,216.371091931566,5189.98149136266,92.1094883290518,361.357799778674,20.7135,0.129332802,"Americas"
"76","MXS",18.84795312,-100.7023886,"0",3.40342466501721,1.16920163975131,1.93400081419899,6011.17663461712,253216.439620704,442984.582439366,436973.405804748,211.869483912706,1674.08964422978,103.81403145266,1131.95890191635,20.8141,0.341436212,"Americas"
"77","MXT",18.50798756,-90.55872649,"0",3.5,1.15582803946372,1.78216338104456,7191.38451115513,245778.247370995,87957.8420967131,80766.457585558,248.972770171131,1688.94247164828,65.7223510009081,1531.89728995426,16.8255,0.64407178,"Americas"
"78","MYA",21.14042303,96.50882808,"0",7.32106285001026,1.13954713476578,1.8327758587627,54451.1956375861,221752.508312448,1132915.62422038,1078464.4285828,232.974652159594,2893.9492736733,93.7208284026903,2177.43721943909,27.0695,0.541254032,"Asia"
"79","NAT",-28.7085677,30.72508497,"1",6.94678648908834,1.11431173248398,0.238482810641168,95781.5604186219,18965.1437821612,233589.389857331,137807.829438709,175.858946921053,3223.57857552005,60.8022221447798,864.020134827085,17.8326,0.131242318,"Africa"
"80","NCB",7.507217236,93.60165739,"0",2.6294154716638,1.03893114373253,2.06053200849435,446.800770713255,0,446.800770713255,0,272.357400375123,456.927844063799,46.635571696327,3003.77020340847,14.2754,0.025652842,"Asia"
"81","NEP",28.25300785,83.93851707,"0",3.87298334620742,1.17094602239752,2.33890063594414,255551.960480392,86135.7292410714,1480168.9853959,1224617.02491551,126.02343700505,5826.20951412789,103.030442475783,1657.8968080522,33.7709,0.341417927,"Asia"
"82","NGA",9.593635674,8.105324864,"1",10.8505733773607,1.12689454597196,1.50379475359477,71114.4502934975,79418.4724599542,144229.57232736,73115.1220338621,265.48513406189,2083.16746785447,102.400383636373,1161.50708344038,13.0367,0.108073568,"Africa"
"83","NGR",17.42632282,9.397657535,"1",14.1861241350476,1.11931229606978,0.76991382668168,77059.7277596018,273036.907568438,2758777.88255502,2681718.15479542,274.744693540598,5175.95532167127,173.873056001853,134.442175800472,2.12057,9.8532e-05,"Africa"
"84","NIC",12.83970931,-85.03469962,"0",5,1.17117860675035,2.33890063594414,7161.33917104621,256524.760238095,137415.753802808,130254.414631762,253.561282360387,673.011725701824,66.7255194197,2220.5697899491,19.8538,0.448448886,"Americas"
"85","NSW",-32.18030973,147.0187766,"0",1.63295074796796,0.928825711103902,3.14870027943445,3235.80736169448,127553.898106061,164326.045895946,161090.238534251,175.795278407168,5452.04576200936,21.226480809975,534.004281202058,22.8827,0.12284044,"Pacific"
"86","NTA",-19.41428342,133.3652138,"0",2.18672414788656,1.08149408029999,3.19931275715259,1762.39865186041,-28.4746031746031,1640,-122.398651860415,253.693472209698,4530.53954791363,88.7792007243827,566.317170113189,17.4433,0.001827081,"Pacific"
"87","NWC",-21.29461419,165.6718498,"0",3.77428021159708,0.865748834617035,3.19931275715259,304.571117957602,0,304.571117957602,0,222.446179203112,2056.61032332774,46.5886290229637,1682.05562406974,22.3575,0.33668581,"Pacific"
"88","NWG",-5.345954432,140.8323421,"0",5.46825270922065,1.03237226498278,2.94625036856187,8666.7,1787.1459567705,9732.6337705448,1065.93377054479,233.052607736673,419.942123676812,26.8683085565275,3193.16233227453,22.0357,0.870742582,"Asia"
"89","PAK",29.35662305,68.78919169,"0",5.99824685967549,1.15250208321828,2.54135054681672,96677.9725926017,188624.779251701,832309.45857582,735631.485983218,229.350620704193,7176.29514789662,96.4306676447625,285.382628986697,33.9932,0.005876648,"Asia"
"90","PAN",8.50544318,-80.10906884,"0",4.95953489891069,1.20176344914719,2.41481935252136,8983.51405872151,183612.494352047,174271.161241705,165287.647182984,245.811732887662,418.425974605051,54.7313731394526,2626.43406870037,15.6068,0.617554343,"Americas"
"91","PAR",-23.23612887,-58.39095178,"0",5.17652774434069,1.06953924456465,1.73155090332642,23159.0747016241,404704.428454481,2571453.16265032,2548294.08794869,236.623347919395,3324.68701067381,44.3258440956846,1192.26286691466,6.93726,0.233903033,"Americas"
"92","PER",-9.163771326,-74.37540668,"0",8,1.20960154183748,2.33890063594414,9727.13180788254,146567.942321429,204467.359771733,194740.22796385,185.715991727816,757.599140001391,58.8024752499109,1619.38585388049,18.7303,0.57637744,"Americas"
"93","PHI",11.74740203,122.8736074,"0",5,1.00539248005477,2.38951311366229,28850.1938301473,0,28850.1938301473,0,256.402123161991,785.55423539704,51.8218333422403,2397.03574914907,24.1241,0.168692872,"Asia"
"94","PUE",18.22093074,-66.46612748,"0",1.46421257000205,1.12759229903044,2.84502541312558,45.5766653849576,3408.79285714286,8782.58101133281,8737.00434594785,255.450478530011,1096.44959982315,36.2901511167535,1612.83034594013,17.6349,0.481325337,"Americas"
"95","QLD",-22.57373668,144.5481795,"0",3.38158231191632,0.980040785596558,3.0980878017163,5325.03035981058,91968.8708059211,150000,144674.969640189,234.895256805734,4521.380570397,73.9636573051293,625.035250884799,16.8357,0.029530962,"Pacific"
"96","RWA",-1.997967978,29.91720553,"1",10.5567483198076,1.12282431979747,1.17481364842683,85302.9561888859,3561.1328793158,131152.885968783,45849.9297798972,190.515821360984,715.76285481009,50.0812993829335,1184.9953445698,16.9865,0.149519953,"Africa"
"97","SAM",-13.79663559,-172.031904,"0",8.42901184096999,0.79957858623756,3.30053771258888,282.186781486304,115.15,502.100861904108,219.914080417804,248.794965051658,381.381046768915,42.4186659399069,3553.29315685722,NA,NA,"Pacific"
"98","SAU",24.0233803,44.58510578,"0",6.83999873765599,1.18057501460458,2.33890063594414,48389.5130954071,195705.490882353,238646.620781179,190257.107685772,260.290969553523,7059.66470252904,108.319510922141,86.0963531717423,NA,NA,"Asia"
"99","SCA",33.91755375,-80.90042082,"0",2.04242106606891,1.11461409214265,3.22461899601166,17001.2131375937,774854.548571429,7199545.97028133,7182544.75714373,173.205576830722,6837.85112665404,21.2029480290382,1232.24811950231,20.2366,0.375116069,"Americas"
"100","SCZ",-10.99211357,166.2240525,"0",9.4232657906894,0.934151892783656,2.1111444862125,242.694846862469,31.5833333333333,266.783942312837,24.0890954503683,262.452370880656,384.296630197867,12.2798838980625,5007.14161849711,NA,NA,"Pacific"
"101","SEN",14.36697954,-14.46817708,"1",13.5669352788846,1.13517454893262,0.76991382668168,81440.894312427,19795.3438160677,183051.120207383,101610.225894956,284.9850555849,2156.99324703465,138.025996212084,654.659119268073,4.93134,0.028197347,"Africa"
"102","SEY",-4.702082011,55.52213886,"1",2.15867994188328,0.970132692166098,2.69318797997115,457,0,457,0,261.961548916129,684.235848765833,43.2705842331794,2457.99667774086,NA,NA,"Africa"
"103","SIE",8.560340924,-11.7921029,"1",8.86162888694854,1.13461634648584,1.57971347017198,71364.4375952385,1080.54490683231,71489.7605941803,125.32299894176,254.384977902579,1320.78020337273,81.9630288684841,2688.35151628298,15.3288,0.552921447,"Africa"
"104","SOL",-8.147972776,158.3400507,"0",7.54502629924318,0.995577420365445,2.84502541312558,713.298969414375,39.7381428571429,893.333121718641,180.034152304266,256.160468810087,378.391053585047,21.5273280049412,3377.60069650091,21.9363,0.213637807,"Asia"
"105","SOM",6.063713497,45.86255927,"1",7.65664696748915,1.17122512362091,0.567463915809104,86739.9462500459,185231.258681319,534236.919266008,447496.973015962,266.043699709343,1536.02497657359,104.217218201891,289.925328203472,14.3646,4.32242e-05,"Africa"
"106","SRL",7.612362427,80.70426262,"0",8.63543920761704,1.10242667205448,0.921751259836112,329625.605986224,-2318.39160919542,298697.307646588,-30928.2983396359,266.779135036025,975.937489718838,63.1968610834732,1675.03927313851,14.7007,0.54279599,"Asia"
"107","SUD",13.83173564,30.05016106,"1",10.0907569830446,1.10838083148687,0.26378904950024,91197.7972783135,107028.136525408,373691.619229761,282493.821951448,268.578210132555,3567.29650222322,149.223464220963,405.722378909461,3.60079,0.006277835,"Africa"
"108","SUL",-2.104047614,121.2948397,"0",5,1.0590729486874,1.78216338104456,34061.4413460288,2446.74752252252,62595.4910310566,28534.0496850278,238.176978493013,351.370822187696,35.1826200855067,2379.17841369714,25.8299,0.664947847,"Asia"
"109","SUM",-0.47758812,101.6400768,"0",6.07247263424868,1.03320956865296,1.4784885147357,55345.6286464324,39049.3047042735,98213.7216148499,42868.0929684174,249.649951474425,344.389770173868,29.394294062303,2722.05011221189,16.6652,0.802232367,"Asia"
"110","SUR",4.12671321,-55.91158124,"0",7.07408102758383,1.23923278838773,1.78216338104456,8400.79704829687,160719.681870968,595230.818522302,586830.021474005,255.354709405784,685.662688980419,48.9087696562307,2227.48736640369,21.2492,0.914580324,"Americas"
"111","TAI",23.74831791,120.9593907,"0",2.66982181006874,1.10372914443032,1.57971347017198,24572.644610446,0,24572.644610446,0,192.347666436121,4132.25323436788,65.5422205445987,2338.98049397801,27.7962,0.60599252,"Asia"
"112","TAN",-6.270199047,34.82340201,"1",10.4538512927047,1.09805408622132,0.567463915809104,70498.5269356034,12747.3318445564,76840.6745800636,6342.14764446017,221.85599944799,1349.68220232587,85.6396579789859,1004.85228214944,19.3467,0.020392334,"Africa"
