"LEVEL_3_CO","ID","LEVEL_NAME","REGION_NAM","CONTINENT","id","SpecName","falsePos"
"GNB",119,"Guinea-Bissau","West Tropical Africa","AFRICA","119","Tragelaphus_derbianus","No"
"GUI",125,"Guinea","West Tropical Africa","AFRICA","125","Tragelaphus_derbianus","No"
"CHA",56,"Chad","Northeast Tropical Africa","AFRICA","55","Tragelaphus_derbianus","No"
"CAF",51,"Central African Republic","West-Central Tropical Africa","AFRICA","50","Tragelaphus_derbianus","No"
"SUD",305,"Sudan","Northeast Tropical Africa","AFRICA","305","Tragelaphus_derbianus","No"
"CMN",70,"Cameroon","West-Central Tropical Africa","AFRICA","70","Tragelaphus_derbianus","No"
"NGA",226,"Nigeria","West Tropical Africa","AFRICA","226","Tragelaphus_derbianus","No"
"FRA",109,"France","Southwestern Europe","EUROPE","109","Vulpes_vulpes","No"
"ITA",143,"Italy","Southeastern Europe","EUROPE","143","Vulpes_vulpes","No"
"JAP",146,"Japan","Eastern Asia","ASIA-TEMPERATE","146","Vulpes_vulpes","No"
"SPA",301,"Spain","Southwestern Europe","EUROPE","301","Vulpes_vulpes","No"
"SAR",282,"Sardegna","Southwestern Europe","EUROPE","282","Vulpes_vulpes","No"
"POR",265,"Portugal","Southwestern Europe","EUROPE","265","Vulpes_vulpes","No"
"TUR",332,"Turkey","Western Asia","ASIA-TEMPERATE","332","Vulpes_vulpes","No"
"EAI",95,"East Aegean Is.","Western Asia","ASIA-TEMPERATE","95","Vulpes_vulpes","No"
"IRN",141,"Iran","Western Asia","ASIA-TEMPERATE","141","Vulpes_vulpes","No"
"SIC",294,"Sicilia","Southeastern Europe","EUROPE","294","Vulpes_vulpes","No"
"AFG",2,"Afghanistan","Western Asia","ASIA-TEMPERATE","1","Vulpes_vulpes","No"
"ALG",9,"Algeria","Northern Africa","AFRICA","8","Vulpes_vulpes","No"
"TUN",331,"Tunisia","Northern Africa","AFRICA","331","Vulpes_vulpes","No"
"IRQ",142,"Iraq","Western Asia","ASIA-TEMPERATE","142","Vulpes_vulpes","No"
"PAK",254,"Pakistan","Indian Subcontinent","ASIA-TROPICAL","254","Vulpes_vulpes","No"
"WHM",354,"West Himalaya","Indian Subcontinent","ASIA-TROPICAL","354","Vulpes_vulpes","No"
