"LEVEL_3_CO","ID","LEVEL_NAME","REGION_NAM","CONTINENT","id","SpecName","falsePos"
"MXS",210,"Mexico Southwest","Mexico","NORTHERN AMERICA","210","Habromys_chinanteco","No"
"MXC",205,"Mexico Central","Mexico","NORTHERN AMERICA","205","Habromys_delicatulus","No"
"MXS",210,"Mexico Southwest","Mexico","NORTHERN AMERICA","210","Habromys_delicatulus","No"
"MXS",210,"Mexico Southwest","Mexico","NORTHERN AMERICA","210","Habromys_ixtlani","No"
"MXS",210,"Mexico Southwest","Mexico","NORTHERN AMERICA","210","Habromys_lepturus","No"
"ELS",100,"El Salvador","Central America","SOUTHERN AMERICA","100","Habromys_lophurus","No"
"GUA",124,"Guatemala","Central America","SOUTHERN AMERICA","124","Habromys_lophurus","No"
"HON",131,"Honduras","Central America","SOUTHERN AMERICA","131","Habromys_lophurus","No"
"MXT",211,"Mexico Southeast","Mexico","NORTHERN AMERICA","211","Habromys_lophurus","No"
"MXC",205,"Mexico Central","Mexico","NORTHERN AMERICA","205","Habromys_schmidlyi","No"
"MXS",210,"Mexico Southwest","Mexico","NORTHERN AMERICA","210","Habromys_schmidlyi","No"
"MXC",205,"Mexico Central","Mexico","NORTHERN AMERICA","205","Habromys_simulatus","No"
"MXE",206,"Mexico Northeast","Mexico","NORTHERN AMERICA","206","Habromys_simulatus","No"
"MXG",207,"Mexico Gulf","Mexico","NORTHERN AMERICA","207","Habromys_simulatus","No"
"BLZ",36,"Belize","Central America","SOUTHERN AMERICA","35","Handleyomys_alfaroi","No"
"CLM",68,"Colombia","Western South America","SOUTHERN AMERICA","67","Handleyomys_alfaroi","No"
"COS",78,"Costa Rica","Central America","SOUTHERN AMERICA","78","Handleyomys_alfaroi","No"
"ECU",97,"Ecuador","Western South America","SOUTHERN AMERICA","97","Handleyomys_alfaroi","No"
"ELS",100,"El Salvador","Central America","SOUTHERN AMERICA","100","Handleyomys_alfaroi","No"
"GUA",124,"Guatemala","Central America","SOUTHERN AMERICA","124","Handleyomys_alfaroi","No"
"HON",131,"Honduras","Central America","SOUTHERN AMERICA","131","Handleyomys_alfaroi","No"
"MXC",205,"Mexico Central","Mexico","NORTHERN AMERICA","205","Handleyomys_alfaroi","No"
"MXE",206,"Mexico Northeast","Mexico","NORTHERN AMERICA","206","Handleyomys_alfaroi","No"
"MXG",207,"Mexico Gulf","Mexico","NORTHERN AMERICA","207","Handleyomys_alfaroi","No"
"MXS",210,"Mexico Southwest","Mexico","NORTHERN AMERICA","210","Handleyomys_alfaroi","No"
"MXT",211,"Mexico Southeast","Mexico","NORTHERN AMERICA","211","Handleyomys_alfaroi","No"
"NIC",228,"Nicaragua","Central America","SOUTHERN AMERICA","228","Handleyomys_alfaroi","No"
"PAN",256,"Panama","Central America","SOUTHERN AMERICA","256","Handleyomys_alfaroi","No"
"VEN",343,"Venezuela","Northern South America","SOUTHERN AMERICA","343","Handleyomys_alfaroi","No"
"MXC",205,"Mexico Central","Mexico","NORTHERN AMERICA","205","Handleyomys_chapmani","No"
"MXG",207,"Mexico Gulf","Mexico","NORTHERN AMERICA","207","Handleyomys_chapmani","No"
"MXS",210,"Mexico Southwest","Mexico","NORTHERN AMERICA","210","Handleyomys_chapmani","No"
"CLM",68,"Colombia","Western South America","SOUTHERN AMERICA","67","Handleyomys_fuscatus","No"
"CLM",68,"Colombia","Western South America","SOUTHERN AMERICA","67","Handleyomys_intectus","No"
"MXE",206,"Mexico Northeast","Mexico","NORTHERN AMERICA","206","Handleyomys_melanotis","No"
"MXN",209,"Mexico Northwest","Mexico","NORTHERN AMERICA","209","Handleyomys_melanotis","No"
"MXS",210,"Mexico Southwest","Mexico","NORTHERN AMERICA","210","Handleyomys_melanotis","No"
"BLZ",36,"Belize","Central America","SOUTHERN AMERICA","35","Handleyomys_rostratus","No"
"ELS",100,"El Salvador","Central America","SOUTHERN AMERICA","100","Handleyomys_rostratus","No"
"GUA",124,"Guatemala","Central America","SOUTHERN AMERICA","124","Handleyomys_rostratus","No"
"HON",131,"Honduras","Central America","SOUTHERN AMERICA","131","Handleyomys_rostratus","No"
"MXC",205,"Mexico Central","Mexico","NORTHERN AMERICA","205","Handleyomys_rostratus","No"
"MXE",206,"Mexico Northeast","Mexico","NORTHERN AMERICA","206","Handleyomys_rostratus","No"
"MXG",207,"Mexico Gulf","Mexico","NORTHERN AMERICA","207","Handleyomys_rostratus","No"
"MXS",210,"Mexico Southwest","Mexico","NORTHERN AMERICA","210","Handleyomys_rostratus","No"
"MXT",211,"Mexico Southeast","Mexico","NORTHERN AMERICA","211","Handleyomys_rostratus","No"
"NIC",228,"Nicaragua","Central America","SOUTHERN AMERICA","228","Handleyomys_rostratus","No"
"ELS",100,"El Salvador","Central America","SOUTHERN AMERICA","100","Handleyomys_saturatior","No"
"GUA",124,"Guatemala","Central America","SOUTHERN AMERICA","124","Handleyomys_saturatior","No"
"HON",131,"Honduras","Central America","SOUTHERN AMERICA","131","Handleyomys_saturatior","No"
"MXT",211,"Mexico Southeast","Mexico","NORTHERN AMERICA","211","Handleyomys_saturatior","No"
"NIC",228,"Nicaragua","Central America","SOUTHERN AMERICA","228","Handleyomys_saturatior","No"
"BOL",37,"Bolivia","Western South America","SOUTHERN AMERICA","36","Hylaeamys_acritus","No"
"BZC",45,"Brazil West-Central","Brazil","SOUTHERN AMERICA","44","Hylaeamys_acritus","No"
"BZN",48,"Brazil North","Brazil","SOUTHERN AMERICA","47","Hylaeamys_acritus","No"
"BZE",46,"Brazil Northeast","Brazil","SOUTHERN AMERICA","45","Hylaeamys_laticeps","No"
"BZL",47,"Brazil Southeast","Brazil","SOUTHERN AMERICA","46","Hylaeamys_laticeps","No"
"BOL",37,"Bolivia","Western South America","SOUTHERN AMERICA","36","Hylaeamys_megacephalus","No"
"BZC",45,"Brazil West-Central","Brazil","SOUTHERN AMERICA","44","Hylaeamys_megacephalus","No"
"BZE",46,"Brazil Northeast","Brazil","SOUTHERN AMERICA","45","Hylaeamys_megacephalus","No"
"BZL",47,"Brazil Southeast","Brazil","SOUTHERN AMERICA","46","Hylaeamys_megacephalus","No"
"BZN",48,"Brazil North","Brazil","SOUTHERN AMERICA","47","Hylaeamys_megacephalus","No"
"BZS",49,"Brazil South","Brazil","SOUTHERN AMERICA","48","Hylaeamys_megacephalus","No"
"CLM",68,"Colombia","Western South America","SOUTHERN AMERICA","67","Hylaeamys_megacephalus","No"
"FRG",110,"French Guiana","Northern South America","SOUTHERN AMERICA","110","Hylaeamys_megacephalus","No"
"GUY",126,"Guyana","Northern South America","SOUTHERN AMERICA","126","Hylaeamys_megacephalus","No"
"PAR",257,"Paraguay","Southern South America","SOUTHERN AMERICA","257","Hylaeamys_megacephalus","No"
"SUR",308,"Surinam","Northern South America","SOUTHERN AMERICA","308","Hylaeamys_megacephalus","No"
"TRT",327,"Trinidad-Tobago","Caribbean","SOUTHERN AMERICA","327","Hylaeamys_megacephalus","No"
"VEN",343,"Venezuela","Northern South America","SOUTHERN AMERICA","343","Hylaeamys_megacephalus","No"
"BZE",46,"Brazil Northeast","Brazil","SOUTHERN AMERICA","45","Hylaeamys_oniscus","No"
"BOL",37,"Bolivia","Western South America","SOUTHERN AMERICA","36","Hylaeamys_perenensis","No"
"BZN",48,"Brazil North","Brazil","SOUTHERN AMERICA","47","Hylaeamys_perenensis","No"
"CLM",68,"Colombia","Western South America","SOUTHERN AMERICA","67","Hylaeamys_perenensis","No"
"ECU",97,"Ecuador","Western South America","SOUTHERN AMERICA","97","Hylaeamys_perenensis","No"
"PER",260,"Peru","Western South America","SOUTHERN AMERICA","260","Hylaeamys_perenensis","No"
"ECU",97,"Ecuador","Western South America","SOUTHERN AMERICA","97","Hylaeamys_tatei","No"
"BOL",37,"Bolivia","Western South America","SOUTHERN AMERICA","36","Hylaeamys_yunganus","No"
"BZC",45,"Brazil West-Central","Brazil","SOUTHERN AMERICA","44","Hylaeamys_yunganus","No"
"BZN",48,"Brazil North","Brazil","SOUTHERN AMERICA","47","Hylaeamys_yunganus","No"
"CLM",68,"Colombia","Western South America","SOUTHERN AMERICA","67","Hylaeamys_yunganus","No"
"ECU",97,"Ecuador","Western South America","SOUTHERN AMERICA","97","Hylaeamys_yunganus","No"
"FRG",110,"French Guiana","Northern South America","SOUTHERN AMERICA","110","Hylaeamys_yunganus","No"
"GUY",126,"Guyana","Northern South America","SOUTHERN AMERICA","126","Hylaeamys_yunganus","No"
"PER",260,"Peru","Western South America","SOUTHERN AMERICA","260","Hylaeamys_yunganus","No"
"SUR",308,"Surinam","Northern South America","SOUTHERN AMERICA","308","Hylaeamys_yunganus","No"
"VEN",343,"Venezuela","Northern South America","SOUTHERN AMERICA","343","Hylaeamys_yunganus","No"
"CLC",67,"Chile Central","Southern South America","SOUTHERN AMERICA","66","Irenomys_tarsalis","No"
"AGE",3,"Argentina Northeast","Southern South America","SOUTHERN AMERICA","2","Juliomys_pictipes","No"
"BZL",47,"Brazil Southeast","Brazil","SOUTHERN AMERICA","46","Juliomys_pictipes","No"
"BZS",49,"Brazil South","Brazil","SOUTHERN AMERICA","48","Juliomys_pictipes","No"
"MXS",210,"Mexico Southwest","Mexico","NORTHERN AMERICA","210","Megadontomys_cryophilus","No"
"MXC",205,"Mexico Central","Mexico","NORTHERN AMERICA","205","Megadontomys_nelsoni","No"
"MXG",207,"Mexico Gulf","Mexico","NORTHERN AMERICA","207","Megadontomys_nelsoni","No"
"MXS",210,"Mexico Southwest","Mexico","NORTHERN AMERICA","210","Megadontomys_nelsoni","No"
"MXS",210,"Mexico Southwest","Mexico","NORTHERN AMERICA","210","Megadontomys_thomasi","No"
"CLM",68,"Colombia","Western South America","SOUTHERN AMERICA","67","Melanomys_caliginosus","No"
"COS",78,"Costa Rica","Central America","SOUTHERN AMERICA","78","Melanomys_caliginosus","No"
"ECU",97,"Ecuador","Western South America","SOUTHERN AMERICA","97","Melanomys_caliginosus","No"
"HON",131,"Honduras","Central America","SOUTHERN AMERICA","131","Melanomys_caliginosus","No"
"NIC",228,"Nicaragua","Central America","SOUTHERN AMERICA","228","Melanomys_caliginosus","No"
"PAN",256,"Panama","Central America","SOUTHERN AMERICA","256","Melanomys_caliginosus","No"
"VEN",343,"Venezuela","Northern South America","SOUTHERN AMERICA","343","Melanomys_caliginosus","No"
"ECU",97,"Ecuador","Western South America","SOUTHERN AMERICA","97","Melanomys_robustulus","No"
"PER",260,"Peru","Western South America","SOUTHERN AMERICA","260","Melanomys_robustulus","No"
"PER",260,"Peru","Western South America","SOUTHERN AMERICA","260","Melanomys_zunigae","No"
"IRN",141,"Iran","Western Asia","ASIA-TEMPERATE","141","Mesocricetus_brandti","No"
"TUR",332,"Turkey","Western Asia","ASIA-TEMPERATE","332","Mesocricetus_brandti","No"
"NCA",216,"North Carolina","Southeastern U.S.A.","NORTHERN AMERICA","216","Microtus_chrotorrhinus","No"
"ARI",16,"Arizona","Southwestern U.S.A.","NORTHERN AMERICA","15","Microtus_longicaudus","No"
"CAL",52,"California","Southwestern U.S.A.","NORTHERN AMERICA","51","Microtus_longicaudus","No"
"ECU",97,"Ecuador","Western South America","SOUTHERN AMERICA","97","Mindomys_hammondi","No"
"JAP",146,"Japan","Eastern Asia","ASIA-TEMPERATE","146","Myodes_rufocanus","No"
"BZN",48,"Brazil North","Brazil","SOUTHERN AMERICA","47","Neacomys_guianae","No"
"GUY",126,"Guyana","Northern South America","SOUTHERN AMERICA","126","Neacomys_guianae","No"
"SUR",308,"Surinam","Northern South America","SOUTHERN AMERICA","308","Neacomys_guianae","No"
"VEN",343,"Venezuela","Northern South America","SOUTHERN AMERICA","343","Neacomys_guianae","No"
"BZN",48,"Brazil North","Brazil","SOUTHERN AMERICA","47","Neacomys_paracou","No"
"FRG",110,"French Guiana","Northern South America","SOUTHERN AMERICA","110","Neacomys_paracou","No"
"GUY",126,"Guyana","Northern South America","SOUTHERN AMERICA","126","Neacomys_paracou","No"
"SUR",308,"Surinam","Northern South America","SOUTHERN AMERICA","308","Neacomys_paracou","No"
"VEN",343,"Venezuela","Northern South America","SOUTHERN AMERICA","343","Neacomys_paracou","No"
"BOL",37,"Bolivia","Western South America","SOUTHERN AMERICA","36","Neacomys_spinosus","No"
"BZC",45,"Brazil West-Central","Brazil","SOUTHERN AMERICA","44","Neacomys_spinosus","No"
"BZN",48,"Brazil North","Brazil","SOUTHERN AMERICA","47","Neacomys_spinosus","No"
"CLM",68,"Colombia","Western South America","SOUTHERN AMERICA","67","Neacomys_spinosus","No"
"ECU",97,"Ecuador","Western South America","SOUTHERN AMERICA","97","Neacomys_spinosus","No"
"PER",260,"Peru","Western South America","SOUTHERN AMERICA","260","Neacomys_spinosus","No"
"CLM",68,"Colombia","Western South America","SOUTHERN AMERICA","67","Nectomys_magdalenae","No"
"GUY",126,"Guyana","Northern South America","SOUTHERN AMERICA","126","Nectomys_palmipes","No"
"TRT",327,"Trinidad-Tobago","Caribbean","SOUTHERN AMERICA","327","Nectomys_palmipes","No"
"VEN",343,"Venezuela","Northern South America","SOUTHERN AMERICA","343","Nectomys_palmipes","No"
"BZC",45,"Brazil West-Central","Brazil","SOUTHERN AMERICA","44","Nectomys_rattus","No"
"BZE",46,"Brazil Northeast","Brazil","SOUTHERN AMERICA","45","Nectomys_rattus","No"
"BZN",48,"Brazil North","Brazil","SOUTHERN AMERICA","47","Nectomys_rattus","No"
"CLM",68,"Colombia","Western South America","SOUTHERN AMERICA","67","Nectomys_rattus","No"
"FRG",110,"French Guiana","Northern South America","SOUTHERN AMERICA","110","Nectomys_rattus","No"
"GUY",126,"Guyana","Northern South America","SOUTHERN AMERICA","126","Nectomys_rattus","No"
"PER",260,"Peru","Western South America","SOUTHERN AMERICA","260","Nectomys_rattus","No"
"SUR",308,"Surinam","Northern South America","SOUTHERN AMERICA","308","Nectomys_rattus","No"
"VEN",343,"Venezuela","Northern South America","SOUTHERN AMERICA","343","Nectomys_rattus","No"
"ARI",16,"Arizona","Southwestern U.S.A.","NORTHERN AMERICA","15","Neotoma_cinerea","No"
"CAL",52,"California","Southwestern U.S.A.","NORTHERN AMERICA","51","Neotoma_cinerea","No"
"CAL",52,"California","Southwestern U.S.A.","NORTHERN AMERICA","51","Neotoma_fuscipes","No"
"ALA",6,"Alabama","Southeastern U.S.A.","NORTHERN AMERICA","5","Neotoma_magister","No"
"GEO",114,"Georgia","Southeastern U.S.A.","NORTHERN AMERICA","114","Neotoma_magister","No"
"NCA",216,"North Carolina","Southeastern U.S.A.","NORTHERN AMERICA","216","Neotoma_magister","No"
"SCA",285,"South Carolina","Southeastern U.S.A.","NORTHERN AMERICA","285","Neotoma_magister","No"
"MXN",209,"Mexico Northwest","Mexico","NORTHERN AMERICA","209","Neotoma_phenax","No"
"MXC",205,"Mexico Central","Mexico","NORTHERN AMERICA","205","Neotomodon_alstoni","No"
"MXE",206,"Mexico Northeast","Mexico","NORTHERN AMERICA","206","Neotomodon_alstoni","No"
"MXG",207,"Mexico Gulf","Mexico","NORTHERN AMERICA","207","Neotomodon_alstoni","No"
"MXS",210,"Mexico Southwest","Mexico","NORTHERN AMERICA","210","Neotomodon_alstoni","No"
"ECU",97,"Ecuador","Western South America","SOUTHERN AMERICA","97","Nephelomys_auriventer","No"
"PER",260,"Peru","Western South America","SOUTHERN AMERICA","260","Nephelomys_auriventer","No"
"BOL",37,"Bolivia","Western South America","SOUTHERN AMERICA","36","Nephelomys_keaysi","No"
"PER",260,"Peru","Western South America","SOUTHERN AMERICA","260","Nephelomys_keaysi","No"
"BOL",37,"Bolivia","Western South America","SOUTHERN AMERICA","36","Nephelomys_levipes","No"
"PER",260,"Peru","Western South America","SOUTHERN AMERICA","260","Nephelomys_levipes","No"
"BLZ",36,"Belize","Central America","SOUTHERN AMERICA","35","Nyctomys_sumichrasti","No"
"CLM",68,"Colombia","Western South America","SOUTHERN AMERICA","67","Nyctomys_sumichrasti","No"
"COS",78,"Costa Rica","Central America","SOUTHERN AMERICA","78","Nyctomys_sumichrasti","No"
"ELS",100,"El Salvador","Central America","SOUTHERN AMERICA","100","Nyctomys_sumichrasti","No"
"GUA",124,"Guatemala","Central America","SOUTHERN AMERICA","124","Nyctomys_sumichrasti","No"
"HON",131,"Honduras","Central America","SOUTHERN AMERICA","131","Nyctomys_sumichrasti","No"
"MXC",205,"Mexico Central","Mexico","NORTHERN AMERICA","205","Nyctomys_sumichrasti","No"
"MXG",207,"Mexico Gulf","Mexico","NORTHERN AMERICA","207","Nyctomys_sumichrasti","No"
"MXS",210,"Mexico Southwest","Mexico","NORTHERN AMERICA","210","Nyctomys_sumichrasti","No"
"MXT",211,"Mexico Southeast","Mexico","NORTHERN AMERICA","211","Nyctomys_sumichrasti","No"
"NIC",228,"Nicaragua","Central America","SOUTHERN AMERICA","228","Nyctomys_sumichrasti","No"
"PAN",256,"Panama","Central America","SOUTHERN AMERICA","256","Nyctomys_sumichrasti","No"
"CLM",68,"Colombia","Western South America","SOUTHERN AMERICA","67","Oecomys_flavicans","No"
"VEN",343,"Venezuela","Northern South America","SOUTHERN AMERICA","343","Oecomys_flavicans","No"
"BOL",37,"Bolivia","Western South America","SOUTHERN AMERICA","36","Oecomys_mamorae","No"
"BZC",45,"Brazil West-Central","Brazil","SOUTHERN AMERICA","44","Oecomys_mamorae","No"
"PAR",257,"Paraguay","Southern South America","SOUTHERN AMERICA","257","Oecomys_mamorae","No"
"AGE",3,"Argentina Northeast","Southern South America","SOUTHERN AMERICA","2","Oecomys_mamorae","No"
"BOL",37,"Bolivia","Western South America","SOUTHERN AMERICA","36","Oligoryzomys_andinus","No"
"PER",260,"Peru","Western South America","SOUTHERN AMERICA","260","Oligoryzomys_andinus","No"
"PER",260,"Peru","Western South America","SOUTHERN AMERICA","260","Oligoryzomys_arenalis","No"
"AGW",5,"Argentina Northwest","Southern South America","SOUTHERN AMERICA","4","Oligoryzomys_brendae","No"
"AGE",3,"Argentina Northeast","Southern South America","SOUTHERN AMERICA","2","Oligoryzomys_chacoensis","No"
"AGW",5,"Argentina Northwest","Southern South America","SOUTHERN AMERICA","4","Oligoryzomys_chacoensis","No"
"BOL",37,"Bolivia","Western South America","SOUTHERN AMERICA","36","Oligoryzomys_chacoensis","No"
"BZC",45,"Brazil West-Central","Brazil","SOUTHERN AMERICA","44","Oligoryzomys_chacoensis","No"
"PAR",257,"Paraguay","Southern South America","SOUTHERN AMERICA","257","Oligoryzomys_chacoensis","No"
"AGE",3,"Argentina Northeast","Southern South America","SOUTHERN AMERICA","2","Oligoryzomys_delticola","No"
"BZS",49,"Brazil South","Brazil","SOUTHERN AMERICA","48","Oligoryzomys_delticola","No"
"URU",NA,NA,"Southern South America","SOUTHERN AMERICA","339","Oligoryzomys_delticola","No"
"AGW",5,"Argentina Northwest","Southern South America","SOUTHERN AMERICA","4","Oligoryzomys_destructor","No"
"BOL",37,"Bolivia","Western South America","SOUTHERN AMERICA","36","Oligoryzomys_destructor","No"
"CLM",68,"Colombia","Western South America","SOUTHERN AMERICA","67","Oligoryzomys_destructor","No"
"ECU",97,"Ecuador","Western South America","SOUTHERN AMERICA","97","Oligoryzomys_destructor","No"
"PER",260,"Peru","Western South America","SOUTHERN AMERICA","260","Oligoryzomys_destructor","No"
"AGE",3,"Argentina Northeast","Southern South America","SOUTHERN AMERICA","2","Oligoryzomys_eliurus","No"
"BZC",45,"Brazil West-Central","Brazil","SOUTHERN AMERICA","44","Oligoryzomys_eliurus","No"
"BZE",46,"Brazil Northeast","Brazil","SOUTHERN AMERICA","45","Oligoryzomys_eliurus","No"
"BZL",47,"Brazil Southeast","Brazil","SOUTHERN AMERICA","46","Oligoryzomys_eliurus","No"
"BZS",49,"Brazil South","Brazil","SOUTHERN AMERICA","48","Oligoryzomys_eliurus","No"
"PAR",257,"Paraguay","Southern South America","SOUTHERN AMERICA","257","Oligoryzomys_eliurus","No"
"AGE",3,"Argentina Northeast","Southern South America","SOUTHERN AMERICA","2","Oligoryzomys_fornesi","No"
"BZC",45,"Brazil West-Central","Brazil","SOUTHERN AMERICA","44","Oligoryzomys_fornesi","No"
"BZE",46,"Brazil Northeast","Brazil","SOUTHERN AMERICA","45","Oligoryzomys_fornesi","No"
"BZL",47,"Brazil Southeast","Brazil","SOUTHERN AMERICA","46","Oligoryzomys_fornesi","No"
"BZN",48,"Brazil North","Brazil","SOUTHERN AMERICA","47","Oligoryzomys_fornesi","No"
"BZS",49,"Brazil South","Brazil","SOUTHERN AMERICA","48","Oligoryzomys_fornesi","No"
"PAR",257,"Paraguay","Southern South America","SOUTHERN AMERICA","257","Oligoryzomys_fornesi","No"
"BLZ",36,"Belize","Central America","SOUTHERN AMERICA","35","Oligoryzomys_fulvescens","No"
"BZN",48,"Brazil North","Brazil","SOUTHERN AMERICA","47","Oligoryzomys_fulvescens","No"
"CLM",68,"Colombia","Western South America","SOUTHERN AMERICA","67","Oligoryzomys_fulvescens","No"
"COS",78,"Costa Rica","Central America","SOUTHERN AMERICA","78","Oligoryzomys_fulvescens","No"
"ECU",97,"Ecuador","Western South America","SOUTHERN AMERICA","97","Oligoryzomys_fulvescens","No"
"ELS",100,"El Salvador","Central America","SOUTHERN AMERICA","100","Oligoryzomys_fulvescens","No"
"FRG",110,"French Guiana","Northern South America","SOUTHERN AMERICA","110","Oligoryzomys_fulvescens","No"
"GUA",124,"Guatemala","Central America","SOUTHERN AMERICA","124","Oligoryzomys_fulvescens","No"
"GUY",126,"Guyana","Northern South America","SOUTHERN AMERICA","126","Oligoryzomys_fulvescens","No"
"HON",131,"Honduras","Central America","SOUTHERN AMERICA","131","Oligoryzomys_fulvescens","No"
"MXC",205,"Mexico Central","Mexico","NORTHERN AMERICA","205","Oligoryzomys_fulvescens","No"
"MXE",206,"Mexico Northeast","Mexico","NORTHERN AMERICA","206","Oligoryzomys_fulvescens","No"
"MXG",207,"Mexico Gulf","Mexico","NORTHERN AMERICA","207","Oligoryzomys_fulvescens","No"
"MXS",210,"Mexico Southwest","Mexico","NORTHERN AMERICA","210","Oligoryzomys_fulvescens","No"
"MXT",211,"Mexico Southeast","Mexico","NORTHERN AMERICA","211","Oligoryzomys_fulvescens","No"
"NIC",228,"Nicaragua","Central America","SOUTHERN AMERICA","228","Oligoryzomys_fulvescens","No"
"PAN",256,"Panama","Central America","SOUTHERN AMERICA","256","Oligoryzomys_fulvescens","No"
"PER",260,"Peru","Western South America","SOUTHERN AMERICA","260","Oligoryzomys_fulvescens","No"
"SUR",308,"Surinam","Northern South America","SOUTHERN AMERICA","308","Oligoryzomys_fulvescens","No"
"VEN",343,"Venezuela","Northern South America","SOUTHERN AMERICA","343","Oligoryzomys_fulvescens","No"
"CLM",68,"Colombia","Western South America","SOUTHERN AMERICA","67","Oligoryzomys_griseolus","No"
"VEN",343,"Venezuela","Northern South America","SOUTHERN AMERICA","343","Oligoryzomys_griseolus","No"
"AGE",3,"Argentina Northeast","Southern South America","SOUTHERN AMERICA","2","Oligoryzomys_longicaudatus","No"
"CLC",67,"Chile Central","Southern South America","SOUTHERN AMERICA","66","Oligoryzomys_longicaudatus","No"
"BOL",37,"Bolivia","Western South America","SOUTHERN AMERICA","36","Oligoryzomys_microtis","No"
"BZC",45,"Brazil West-Central","Brazil","SOUTHERN AMERICA","44","Oligoryzomys_microtis","No"
"BZN",48,"Brazil North","Brazil","SOUTHERN AMERICA","47","Oligoryzomys_microtis","No"
"PER",260,"Peru","Western South America","SOUTHERN AMERICA","260","Oligoryzomys_microtis","No"
"BZC",45,"Brazil West-Central","Brazil","SOUTHERN AMERICA","44","Oligoryzomys_moojeni","No"
"BZE",46,"Brazil Northeast","Brazil","SOUTHERN AMERICA","45","Oligoryzomys_moojeni","No"
"BZL",47,"Brazil Southeast","Brazil","SOUTHERN AMERICA","46","Oligoryzomys_moojeni","No"
"BZN",48,"Brazil North","Brazil","SOUTHERN AMERICA","47","Oligoryzomys_moojeni","No"
"BZC",45,"Brazil West-Central","Brazil","SOUTHERN AMERICA","44","Oligoryzomys_stramineus","No"
"BZE",46,"Brazil Northeast","Brazil","SOUTHERN AMERICA","45","Oligoryzomys_stramineus","No"
"BZL",47,"Brazil Southeast","Brazil","SOUTHERN AMERICA","46","Oligoryzomys_stramineus","No"
"BZN",48,"Brazil North","Brazil","SOUTHERN AMERICA","47","Oligoryzomys_stramineus","No"
"COS",78,"Costa Rica","Central America","SOUTHERN AMERICA","78","Oligoryzomys_vegetus","No"
"PAN",256,"Panama","Central America","SOUTHERN AMERICA","256","Oligoryzomys_vegetus","No"
"ECU",97,"Ecuador","Western South America","SOUTHERN AMERICA","97","Oreoryzomys_balneator","No"
"PER",260,"Peru","Western South America","SOUTHERN AMERICA","260","Oreoryzomys_balneator","No"
"CLM",68,"Colombia","Western South America","SOUTHERN AMERICA","67","Oryzomys_gorgasi","No"
"PAN",256,"Panama","Central America","SOUTHERN AMERICA","256","Oryzomys_gorgasi","No"
"VEN",343,"Venezuela","Northern South America","SOUTHERN AMERICA","343","Oryzomys_gorgasi","No"
"NIC",228,"Nicaragua","Central America","SOUTHERN AMERICA","228","Oryzomys_dimidiatus","No"
"MXC",205,"Mexico Central","Mexico","NORTHERN AMERICA","205","Osgoodomys_banderanus","No"
"MXS",210,"Mexico Southwest","Mexico","NORTHERN AMERICA","210","Osgoodomys_banderanus","No"
"BLZ",36,"Belize","Central America","SOUTHERN AMERICA","35","Otonyctomys_hatti","No"
"GUA",124,"Guatemala","Central America","SOUTHERN AMERICA","124","Otonyctomys_hatti","No"
"MXT",211,"Mexico Southeast","Mexico","NORTHERN AMERICA","211","Otonyctomys_hatti","No"
"BLZ",36,"Belize","Central America","SOUTHERN AMERICA","35","Ototylomys_phyllotis","No"
"COS",78,"Costa Rica","Central America","SOUTHERN AMERICA","78","Ototylomys_phyllotis","No"
"ELS",100,"El Salvador","Central America","SOUTHERN AMERICA","100","Ototylomys_phyllotis","No"
"GUA",124,"Guatemala","Central America","SOUTHERN AMERICA","124","Ototylomys_phyllotis","No"
"HON",131,"Honduras","Central America","SOUTHERN AMERICA","131","Ototylomys_phyllotis","No"
"MXS",210,"Mexico Southwest","Mexico","NORTHERN AMERICA","210","Ototylomys_phyllotis","No"
"MXT",211,"Mexico Southeast","Mexico","NORTHERN AMERICA","211","Ototylomys_phyllotis","No"
"NIC",228,"Nicaragua","Central America","SOUTHERN AMERICA","228","Ototylomys_phyllotis","No"
"ARK",17,"Arkansas","Southeastern U.S.A.","NORTHERN AMERICA","16","Peromyscus_attwateri","No"
"OKL",250,"Oklahoma","North-Central U.S.A.","NORTHERN AMERICA","250","Peromyscus_attwateri","No"
"TEX",321,"Texas","South-Central U.S.A.","NORTHERN AMERICA","321","Peromyscus_attwateri","No"
"ARI",16,"Arizona","Southwestern U.S.A.","NORTHERN AMERICA","15","Peromyscus_boylii","No"
"CAL",52,"California","Southwestern U.S.A.","NORTHERN AMERICA","51","Peromyscus_boylii","No"
"MXE",206,"Mexico Northeast","Mexico","NORTHERN AMERICA","206","Peromyscus_boylii","No"
"MXN",209,"Mexico Northwest","Mexico","NORTHERN AMERICA","209","Peromyscus_boylii","No"
"MXS",210,"Mexico Southwest","Mexico","NORTHERN AMERICA","210","Peromyscus_boylii","No"
"OKL",250,"Oklahoma","North-Central U.S.A.","NORTHERN AMERICA","250","Peromyscus_boylii","No"
"TEX",321,"Texas","South-Central U.S.A.","NORTHERN AMERICA","321","Peromyscus_boylii","No"
"MXG",207,"Mexico Gulf","Mexico","NORTHERN AMERICA","207","Peromyscus_bullatus","No"
"CAL",52,"California","Southwestern U.S.A.","NORTHERN AMERICA","51","Peromyscus_californicus","No"
"MXN",209,"Mexico Northwest","Mexico","NORTHERN AMERICA","209","Peromyscus_californicus","No"
