"","LEVEL_3_CO","X","LAT","LONG","accAfrica","max95FL_palms","log_medianFL_palms_BBM_MCC","curr_max95BodySize","mean_abs_BSchange","presNat_max95BodySize","mean_perc_BSchange","MAT","TempSeas","AnnualPrec","PrecSeas","CH_Mean","CH_PercCover","accRealm","log_max95FL_palms_BBM_MCC","log_max95FL_palms_BBMmean"
"22","CBD",22,12.71402994,104.9212396,0,7.04846199441542,1.57971347017198,91659.7352002298,33364.8239007664,623904.738375505,26.94,268.595690464552,1020.16430959248,80.7674816141408,1872.27202007183,18.1,0.416536693,"Asia",1.2944,1.1581
"23","CHA",23,15.3611457,18.66460339,1,10.81500555133,0.213176571782096,191812.070895295,194309.164646465,1190671.72863331,53.59,267.577533293769,4154.49110308508,173.000524973391,313.178029766123,2.82206,0.015624481,"Africa",1.1828,1.1116
"24","CHC",24,28.51736916,104.6408898,0,5.25883094332759,1.60501970903106,24603.8451570016,247711.160327924,1395645.54601746,86.95,127.09690789638,6189.89963236594,78.5094860966299,1060.72638370717,28.9272,0.388385862,"Asia",1.2668,1.1159
"25","CHH",25,19.20103623,109.7420098,0,3,1.68093842560827,48093.4423706989,32.8060846560838,44862.1101614122,0.38,239.698806011743,3337.34151342399,72.9127790288089,1738.73914704618,24.293,0.295861167,"Asia",1.3424,1.1242
"26","CHS",26,28.08959356,114.4271369,0,3.1663041568704,1.68093842560827,12112.4416288295,333747.747619048,1784770.34341762,98.72,178.508702926194,7469.62552970945,61.8171205118176,1419.94933789776,24.4796,0.341456831,"Asia",1.31015,1.121
"27","CHT",27,31.712301,88.11841654,0,2.91906703057529,2.33890063594414,173517.20266258,169460.360402901,1727011.61309965,66.11,-30.1274360524684,7417.20862268449,113.884286342241,410.973244758223,33.7216,0.009985363,"Asia",1.2707,1.0331
"28","CLM",28,3.899947514,-73.07536081,0,7.5,2.44012559138043,9669.13724184967,65478.4814162234,105540.662099485,92.66,232.239870476894,471.329934089856,41.3464568454686,2856.97136703341,16.781,0.649436837,"Americas",1.3264,1.20615
"29","CMN",29,5.68580436,12.7432535,1,8.84915568068481,1.68093842560827,53199.6612715503,8384.11866308471,71114.4502934975,13.79,237.437959835421,1279.36973300731,74.8607770747388,1677.18242620264,20.1702,0.49465377,"Africa",1.308,1.123
"30","COM",30,-12.08514902,43.97955695,1,7.56962447247576,2.08583824735342,573.803827013436,0,573.803827013436,0,242.32128673799,1117.12336596123,64.4212179447069,2125.92483006797,20.6124,0.046203764,"Africa",1.25575,1.10575
"31","CON",31,-0.840066027,15.22427459,1,8.96204955486414,1.25073236500405,61790.5638811547,7904.90348837209,71867.0516149728,11.65,239.042940665642,671.174103099601,50.5334822258762,1600.31817730419,18.6136,0.714426131,"Africa",1.301,1.12435
"32","COS",32,9.97052135,-84.18903867,0,3.49698836536212,2.23767568050786,7086.55354990745,250956.485945399,109939.952585892,98.08,233.88231580553,505.85485382796,55.6118466012729,3073.27060203542,21.6611,0.443642093,"Americas",1.2988,1.2019
"33","CRL",33,7.212482218,146.7096536,0,8.88085964645451,3.30053771258888,319.256567692974,36.9928571428572,410.418722645179,16.97,271.822392285086,151.562787600039,19.2951498148843,4360.65943600868,NA,NA,"Pacific",1.2785,0.8382
"34","CUB",34,21.62013286,-79.0352374,0,2.5,2.54135054681672,6628.90803467998,13924.0333333333,87271.8697164438,88.53,251.387233137961,1713.18195316874,57.6989871585487,1322.52640446979,24.0513,0.174888407,"Americas",1.3818,1.2043
