"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"	"fit"	"delta"	"w"	"threshold"
8	"OUM"	-1946.09113346087	3900.18226692174	3900.20212789493	3922.62369739499	4	6.2e+09	1000	0	3.23561457252926	3.23561457252926	2.66129358091612	2.66129358091612	0.498343685566212	0.0147368695077507	0.87889583177944	0.0805110139304681	3900.20212789493	0	0.525448515084109	"50"
8	"OUMV"	-1935.51508554596	3881.03017109192	3881.06006645813	3909.06707822012	5	6.2e+09	980	29	3.23561248212812	3.23561248212812	2.6822619632125	1.7426210177836	0.49866627950721	0.0147928214938997	0.781656490795796	0.068559367957773	3881.06006645813	0	0.783833660126344	"25"
9	"OUM"	-1703.04228987429	3414.08457974858	3414.10435236351	3436.54380120743	4	1500	210	0	0.129757790860544	0.129757790860544	0.117337340478817	0.117337340478817	0.602521521433423	0.0266311369998413	1.09382663081215	0.0974497997204917	3414.10435236351	0	0.509295215793054	"75"
9	"OUMV"	-1690.97743491823	3391.95486983646	3391.98467609577	3420.00665792802	5	1500	220	26	0.129640753504445	0.129640753504445	0.118184089269899	0.0806040916077765	0.602760674236277	0.0267523620625085	0.97800332049696	0.0880331172466838	3391.98467609577	0	0.544604713650429	"50"
9	"OUMV"	-1684.3068619085	3378.61372381701	3378.64361918322	3406.65063094521	5	1500	220	24	0.130080963156841	0.130080963156841	0.118460231797046	0.073758121409136	0.602806722842677	0.026681031351598	0.875017670131397	0.0903012712373934	3378.64361918322	0	0.79418451955847	"25"
10	"OUMV"	-1647.23957551104	3304.47915102208	3304.50882461258	3332.55317784564	5	1400	260	25	0.109760911449912	0.109760911449912	0.10553723008665	0.0671034234962018	0.645116028417422	0.0322984682736693	1.13825937724551	0.0842771567395692	3304.50882461258	0	0.660109648168429	"75"
10	"OUMV"	-1635.64592875097	3281.29185750195	3281.32166376126	3309.34364559351	5	1400	260	22	0.11099524342474	0.11099524342474	0.106142186944189	0.0591408171056402	0.642306690107114	0.0319951323433154	1.00795726340061	0.0828145311939116	3281.32166376126	0	0.933892891835239	"50"
10	"OUMV"	-1627.58767106933	3265.17534213865	3265.20523750487	3293.21224926685	5	1400	250	20	0.111457777909866	0.111457777909866	0.106387197400794	0.0522996322396102	0.641354533708002	0.0318784273683296	0.905302684573602	0.084101044304305	3265.20523750487	0	0.583593756662774	"25"
11	"OUM"	-1931.49401976753	3870.98803953506	3871.00790050825	3893.42947000831	4	2000	3.3	0	2.68953439587944	2.68953439587944	2.17185057725588	2.17185057725588	0.498280910775929	0.0146042729679908	0.867858755267692	0.0795999772289622	3871.00790050825	0	0.999999455578673	"50"
11	"OUM"	-1922.66107064316	3853.32214128632	3853.34206160505	3875.75166698888	4	2000	3.1	0	2.86758662852158	2.86758662852158	2.30628701424039	2.30628701424039	0.498220852089669	0.0145582219248845	0.777679467089188	0.0835851268234601	3853.34206160505	0	0.987891983648062	"25"
11	"OUMV"	-1957.51565374829	3925.03130749658	3925.06098108709	3953.10533432014	5	1700	70	15	0.305368763851189	0.305368763851189	0.293105944682396	0.219565503663337	0.538893832656957	0.0192280488896014	1.10473105907603	0.0795465859020562	3925.06098108709	0	0.519092497063463	"75"
12	"OUMV"	-1654.13301959541	3318.26603919082	3318.29571278132	3346.34006601437	5	1500	230	29	0.143197465132991	0.143197465132991	0.124938973277817	0.0935767201711536	0.580645584813511	0.0251769471682231	1.02800472894872	0.0851702118748614	3318.29571278132	0	0.560343824329823	"75"
12	"OUMV"	-1646.22325500669	3302.44651001337	3302.47631627269	3330.49829810494	5	1500	220	25	0.145603378259313	0.145603378259313	0.126209569348525	0.0881985829110478	0.5792493850088	0.0248428571453754	0.959769257043532	0.0852886265236383	3302.47631627269	0	0.638503861968201	"50"
12	"OUMV"	-1639.08177250188	3288.16354500376	3288.19344036998	3316.20045213196	5	1500	210	21	0.146725966744123	0.146725966744123	0.12669286665231	0.0834020273397933	0.57763528648085	0.0246770131322151	0.892285938280574	0.0906909340530593	3288.19344036998	0	0.671282385612739	"25"
13	"OUMV"	-1855.39673333986	3720.79346667973	3720.82314027023	3748.86749350329	5	1700	150	27	0.252722905127791	0.252722905127791	0.232262207617895	0.176362209354086	0.551265888443447	0.0203599662021397	1.09316458764879	0.0775413863879356	3720.82314027023	0	0.520354402346171	"75"
13	"OUMV"	-1843.21605469928	3696.43210939856	3696.46191565787	3724.48389749012	5	1700	130	24	0.258547285464462	0.258547285464462	0.23625176321454	0.162430646957425	0.549727950989589	0.0201410704916902	0.972882159201351	0.0781196762532919	3696.46191565787	0	0.668091057464439	"50"
13	"OUMV"	-1833.37978355855	3676.75956711711	3676.78946248332	3704.79647424531	5	1700	130	22	0.257916699896152	0.257916699896152	0.236398683895476	0.125463650623579	0.550265198121446	0.0201772164346855	0.876517083113551	0.0744682844149823	3676.78946248332	0	0.683816226248706	"25"
14	"OUM"	-1640.1448599599	3288.28971991981	3288.30949253473	3310.74894137865	4	1500	180	0	0.159179369659275	0.159179369659275	0.133511098621273	0.133511098621273	0.585917410453018	0.0249420909173885	1.0871071604529	0.0910460301705584	3288.30949253473	0	0.606216563205437	"75"
