SpecName;accSpecies;PalmTribe;PalmSubfamily;Climbing;Acaulescent;Erect;StemSolitary;StemArmed;LeavesArmed;MaxStemHeight_m;MaxStemDia_cm;UnderstoreyCanopy;MaxLeafNumber;Max_Blade_Length_m;Max_Rachis_Length_m;Max_Petiole_length_m;AverageFruitLength_cm;MinFruitLength_cm;MaxFruitLength_cm;AverageFruitWidth_cm;MinFruitWidth_cm;MaxFruitWidth_cm;FruitSizeCategorical;FruitShape;FruitColorDescription;MainFruitColors;Conspicuousness;MDG;Africa;Asia;America;Pacific;accRealm;accAfrica;moist0_dry1
Pholidostachys_panamensis;panamensis;Geonomateae;Arecoideae;0;0;1;1;0;0;3;11;understorey;19;NA;1.55;1.5;2.86;2.25;3.21;2.08;1.81;2.45;small;NA;brown;brown;cryptic;0;0;0;1;0;AMERICAS;0;0
Pholidostachys_pulchra;pulchra;Geonomateae;Arecoideae;0;0;1;2;0;0;9;8;canopy;23;3.06;1.56;1.55;2.23;1.15;2.92;1.108679245;0.66;1.46;small;ovoid;red_to_black;"red;_black";conspicuous;0;0;0;1;0;AMERICAS;0;0
Pholidostachys_sanluisensis;sanluisensis;Geonomateae;Arecoideae;0;0;1;1;0;0;5;4;understorey;15;NA;0.92;1;1.98;1.96;1.99;1.03;0.98;1.07;small;ellipsoid;NA;NA;NA;0;0;0;1;0;AMERICAS;0;0
Pholidostachys_synanthera;synanthera;Geonomateae;Arecoideae;0;0;1;1;0;0;12;22;canopy;27;2.6;1.24;1.41;1.385;1;1.77;0.84;0.61;1.05;small;ovoid;black;black;cryptic;0;0;0;1;0;AMERICAS;0;0
Physokentia_avia;avia;Areceae;Arecoideae;0;0;1;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Physokentia_dennisii;dennisii;Areceae;Arecoideae;0;0;1;1;0;0;10.5;NA;canopy;NA;1.82;1.8;0.02;1.5;NA;NA;1.1;NA;NA;small;NA;orange-red;"orange;_red";conspicuous;0;0;0;0;1;PACIFIC;0;0
Physokentia_insolita;insolita;Areceae;Arecoideae;0;0;1;1;0;0;15;17.5;canopy;8;2.175;1.8;0.43;1.2;1.1;1.3;1.2;1;1.3;small;NA;red;red;conspicuous;0;0;0;0;1;PACIFIC;0;0
Physokentia_petiolata;petiolata;Areceae;Arecoideae;0;0;1;1;0;0;8;10;canopy;10;2;1.78;0.24;2;NA;NA;1.65;1.3;2;small;globose;dark_red;red;conspicuous;0;0;0;0;1;PACIFIC;0;0
Physokentia_tete;tete;Areceae;Arecoideae;0;0;1;1;0;0;4.5;7;understorey;NA;0.6;NA;NA;2.55;2.5;2.6;2.05;1.8;2.3;small;NA;black;black;cryptic;0;0;0;0;1;PACIFIC;0;0
Physokentia_thurstonii;thurstonii;Areceae;Arecoideae;0;0;1;1;0;0;7;10;canopy;10;0.95;0.55;0.45;2.5;NA;NA;2.1;NA;NA;small;NA;black;black;cryptic;0;0;0;0;1;PACIFIC;0;0
Physokentia_whitmorei;whitmorei;Areceae;Arecoideae;0;0;1;1;0;0;6;NA;canopy;6;0.9;NA;NA;2.3;NA;NA;2;NA;NA;small;globose;olive_to_black;"green;_black";cryptic;0;0;0;0;1;PACIFIC;0;0
Phytelephas_aequatorialis;aequatorialis;Phytelepheae;Ceroxyloideae;0;0;1;1;0;0;15;30;canopy;25;8;NA;NA;7.5;NA;NA;NA;NA;NA;large;globose;"brown_orange;_horned_husk";brown;cryptic;0;0;0;1;0;AMERICAS;0;0
Phytelephas_macrocarpa;macrocarpa;Phytelepheae;Ceroxyloideae;0;2;2;1;0;0;2;30;understorey;20;8.5;7;1.55;13;10;16;15.5;13;18;large;globose;"yellowish-orange;_brown";"orange;_brown";conspicuous;0;0;0;1;0;AMERICAS;0;0
Phytelephas_schottii;schottii;Phytelepheae;Ceroxyloideae;0;0;1;1;0;0;0;0;understorey;20;8.34;7.5;0.96;NA;NA;NA;NA;NA;NA;NA;NA;hidden_in_leaf_litter;NA;NA;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Phytelephas_seemannii;seemannii;Phytelepheae;Ceroxyloideae;0;0;1;1;0;0;4;30;understorey;35;6.5;5.5;NA;8;6;10;14;12;16;large;globose;brown;brown;cryptic;0;0;0;1;0;AMERICAS;0;0
Phytelephas_tenuicaulis;tenuicaulis;Phytelepheae;Ceroxyloideae;0;0;1;0;0;0;7;10;canopy;20;7.76;5.5;2.36;7.5;6;9;NA;NA;NA;large;ovoid;brown;brown;cryptic;0;0;0;1;0;AMERICAS;0;0
Phytelephas_tumacana;tumacana;Phytelepheae;Ceroxyloideae;0;0;1;1;0;0;5;20;understorey;15;6;5;NA;7.5;7;8;12.5;10;15;large;NA;brown;brown;cryptic;0;0;0;1;0;AMERICAS;0;0
Pigafetta_elata;elata;Calameae;Calamoideae;0;0;1;1;0;1;40;40;canopy;NA;3;NA;0.75;0.9;NA;NA;0.7;NA;NA;small;NA;light_brown_scales;brown;cryptic;0;0;1;0;0;ASIA;0;0
Pigafetta_filaris;filaris;Calameae;Calamoideae;0;0;1;1;0;1;25;45;canopy;20;6;6;NA;1;0.8;1.2;0.65;0.6;0.7;small;globose;imbricate_yellow_to_orange_scalesá;"yellow;_orange";conspicuous;0;0;0;0;1;PACIFIC;0;0
Pinanga_acaulis;acaulis;Areceae;Arecoideae;0;1;0;1;0;0;0.1;0;understorey;NA;0.9;0.9;0.22;1.2;NA;NA;0.7;NA;NA;small;NA;NA;NA;NA;0;0;1;0;0;ASIA;0;0
Pinanga_acuminata;acuminata;Areceae;Arecoideae;0;0;1;0;0;0;5;2;understorey;NA;0.7;0.7;NA;1.5;NA;NA;0.7;NA;NA;small;NA;red;red;conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_adangensis;adangensis;Areceae;Arecoideae;0;0;1;0;0;0;8;5;canopy;6;2;2;NA;1.55;1.3;1.8;1.05;0.9;1.2;small;ovoid;purple-black;"purple;_black";cryptic;0;0;1;0;0;ASIA;0;0
Pinanga_albescens;albescens;Areceae;Arecoideae;0;0;1;2;0;0;1.5;1.5;understorey;NA;0.5;NA;0.22;4.5;NA;NA;5;NA;NA;large;ovoid;"pale_yellow;_white;_green;_dark_green";"yellow;_white;_green";conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_andamanensis;andamanensis;Areceae;Arecoideae;0;0;1;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA;NA;NA;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Pinanga_angustisecta;angustisecta;Areceae;Arecoideae;0;0;1;1;0;0;3;NA;understorey;NA;2.25;NA;NA;1.7;NA;NA;0.8;NA;NA;small;NA;"red;_pale_reddish_brown";"red;_brown";conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_annamensis;annamensis;Areceae;Arecoideae;0;0;1;0;0;0;5;3.5;understorey;6;1.2;1.2;NA;1.8;NA;NA;1.2;NA;NA;small;ovoid;pink_or_red;"pink;_red";conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_arinasae;arinasae;Areceae;Arecoideae;0;0;1;1;0;0;12;15;canopy;10;3.3;2.15;0.22;1.45;1.2;1.7;1;0.8;1.2;small;ovoid;red_blackish;red;conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_aristata;aristata;Areceae;Arecoideae;0;0;1;2;0;0;2;2;understorey;7;1.8;NA;0.4;0.8;NA;NA;0.6;NA;NA;small;ovoid;"pale_orange;_orange-brick_red";"orange;_red";conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_arundinacea;arundinacea;Areceae;Arecoideae;0;0;1;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;globose;NA;NA;NA;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Pinanga_auriculata;auriculata;Areceae;Arecoideae;0;0;1;1;0;0;4;3;understorey;NA;1;1;NA;1.55;1.1;2;0.85;0.7;1;small;globose;"ripening_from_white_to_red_to_black;_burgundy_red";"white;_red;_black";conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_badia;badia;Areceae;Arecoideae;0;0;1;0;0;0;3;2.5;understorey;6;2.7;1.8;NA;1.7;NA;NA;0.8;NA;NA;small;NA;red_or_pink;"red;_pink";conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_basilanensis;basilanensis;Areceae;Arecoideae;0;0;1;1;0;0;10;20;canopy;NA;NA;NA;NA;1.6;NA;NA;0.8;NA;NA;small;ovoid;NA;NA;NA;0;0;1;0;0;ASIA;0;0
Pinanga_batanensis;batanensis;Areceae;Arecoideae;0;0;1;1;0;0;6;NA;canopy;NA;2.5;NA;NA;2.1;NA;NA;1.2;NA;NA;small;globose;NA;NA;NA;0;0;1;0;0;ASIA;0;0
Pinanga_baviensis;baviensis;Areceae;Arecoideae;0;0;1;2;0;0;5;2.5;understorey;6;1.33;1;0.38;2.5;NA;NA;1;NA;NA;small;NA;red;red;conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_bicolana;bicolana;Areceae;Arecoideae;0;0;1;1;0;0;3;4;understorey;6;1;0.75;0.27;2.2;NA;NA;1.4;NA;NA;small;NA;reddish_orange_tunring_purplish-black;"orange;_black";conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_borneensis;borneensis;Areceae;Arecoideae;0;0;1;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA;NA;NA;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
