"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
"ouwie_Afr_BM_39"	"OUMA"	23330.6403136421	-46651.2806272842	-46651.2477865617	-46623.712081045	5	6.3e+09	1.4e+08	180	3.2426371429082	1.17892223821072	1.00026347552283e-09	1.00026347552283e-09	-0.180601651884138	3.47484796273786e+50	-1.61141112258212e-24	0
"ouwie_Afr_BM_4"	"OUMA"	22686.1572127042	-45362.3144254085	-45362.281584686	-45334.7458791693	5	2e+07	380	-5.3e+08	3.33422062438164	1.6396325188451	1e-09	1e-09	1.02883698281981	8.25986824874683e+47	4.14073867414828e-32	0
"ouwie_Afr_BM_40"	"OUMA"	25244.5114047402	-50479.0228094805	-50478.989968758	-50451.4542632413	5	2.4e+08	44000	-2.6e+08	3.80567596973793e-06	0.294482343539488	1.00709347762778e-09	1.00709347762778e-09	1.16825524025397e-10	0	2.93085659856755	407319.650833139
"ouwie_Afr_BM_41"	"OUMA"	14591.4249312732	-29172.8498625464	-29172.8170218239	-29145.2813163072	5	46000	590	-110000	1.18721065992759e-08	0.21228861201193	1e-09	1e-09	-1819951.46119556	277399.966700834	-0.629435523033781	0.217677747485492
"ouwie_Afr_BM_42"	"OUMA"	23225.6288979229	-46441.2577958458	-46441.2249551233	-46413.6892496066	5	5.6e+09	1.4e+07	1600	3.46183945950264	1.45090566172311	1.00712579979886e-09	1.00712579979886e-09	2.74120469307642	7.0113444874921e+45	-6.36589450578872e-26	0
"ouwie_Afr_BM_43"	"OUMA"	16384.2885252415	-32758.5770504829	-32758.5442097604	-32731.0085042437	5	2e+07	1300000	-170000	0.0101245247032505	0.240881447004238	1e-09	1e-09	-40493.3167124992	3651.0301613373	8.09087692460651	0.0994715752859271
"ouwie_Afr_BM_44"	"OUM"	-1516.65318468593	3041.30636937185	3041.32825120993	3063.36120636321	4	930	31	0	0.0151946302930973	0.0151946302930973	0.0578186924399784	0.0578186924399784	0.92198538260128	0.325727529041281	-0.242436739948978	0.572595911010011
"ouwie_Afr_BM_44"	"OUMV"	-1516.62996639512	3043.25993279024	3043.29277351274	3070.82847902944	5	900	38	24	0.0151340776040821	0.0151340776040821	0.0578707504290139	0.0555614434331183	0.925266541036166	0.326334114511581	-0.245260010258307	0.565927359252408
"ouwie_Afr_BM_44"	"OUMVA"	14067.0790431087	-28122.1580862175	-28122.1120840269	-28089.0758307304	6	900	38	24	0.264670735745689	1.14391742231925e-09	1e-09	1.04010756611085e-09	1.96074277254436	0.128772282216752	-6.56407661892541e-16	6.52109114264817e-16
"ouwie_Afr_BM_44"	"OUMA"	32332.5272685846	-64655.0545371692	-64655.0216964468	-64627.4859909301	5	2400000	1900000	3200	0.00362200300564991	0.469286247872028	1.00663087631634e-09	1.00663087631634e-09	2.06273932979476e-11	0	0.303131409601471	337068955122.484
"ouwie_Afr_BM_45"	"OUMA"	23393.2398348157	-46776.4796696314	-46776.4468289089	-46748.9111233922	5	6.1e+09	4.9e+09	480	3.30056057503834	1.02605887919002	1e-09	1e-09	1.85035816140492	2.82582303268169e+50	-4.88763821605672e-27	0
"ouwie_Afr_BM_46"	"OUMVA"	26613.6751570839	-53215.3503141678	-53215.3043119772	-53182.2680586808	6	910	49	26	0.00633847318543546	0.282601116814604	1.00374127551293e-09	0.00700513779195172	1.37288701587434e-12	0.000285257434626026	0.404571434503452	86777543.1896782
"ouwie_Afr_BM_46"	"OUMA"	42210.7921172193	-84411.5842344385	-84411.551393716	-84384.0156881993	5	4.3e+07	41000	-6.6e+07	2.56270164149016e-05	0.465976345912662	1e-09	1e-09	2.81647655436801e-07	0	0.0644341005776991	65486505851.32
"ouwie_Afr_BM_47"	"OUMA"	23307.0585103322	-46604.1170206643	-46604.0841799418	-46576.5484744251	5	5.8e+09	1.1e+07	1600	3.41457046542358	1.30908968030231	1e-09	1e-09	2.69880523397499	51840434127.1459	-2.84333139557538e-54	0
"ouwie_Afr_BM_48"	"OUMA"	19744.2113884728	-39478.4227769455	-39478.389936223	-39450.8542307063	5	6200000	160000	-2800000	0.022639711664459	0.249152429623776	1e-09	1e-09	-5048265.38349319	472445.930639558	0.283487348920027	0.088818207359201
