"","variable","P_sign","P","coeff","r.squared","adj.r.squared","tree"
"(Intercept)19","(Intercept)",TRUE,0.0107,0.406,0.446594113392445,0.400476956175148,36
"normalized((sqrt_change))17","normalized((sqrt_change))",TRUE,0,0.593,0.446594113392445,0.400476956175148,36
"normalized(I(MAT^2))6","normalized(I(MAT^2))",TRUE,0.0055,0.325,0.446594113392445,0.400476956175148,36
"normalized(sqrt(TempSeas))18","normalized(sqrt(TempSeas))",TRUE,0.0205,-0.239,0.446594113392445,0.400476956175148,36
"normalized((sqrt_change))18","normalized((sqrt_change))",TRUE,0.0142,-0.263,0.590729173149377,0.556623270911825,37
"normalized(I(MAT^2))7","normalized(I(MAT^2))",TRUE,0.0069,0.432,0.590729173149377,0.556623270911825,37
"normalized(sqrt(PrecSeas))12","normalized(sqrt(PrecSeas))",TRUE,0,0.849,0.590729173149377,0.556623270911825,37
"(Intercept)20","(Intercept)",TRUE,0.0267,0.453,0.360391351486586,0.307090630777135,38
"normalized(sqrt(curr_max95BodySize))13","normalized(sqrt(curr_max95BodySize))",TRUE,0.0343,0.261,0.360391351486586,0.307090630777135,38
"normalized(sqrt(TempSeas))19","normalized(sqrt(TempSeas))",TRUE,0.0091,-0.348,0.360391351486586,0.307090630777135,38
"normalized(sqrt(AnnualPrec))13","normalized(sqrt(AnnualPrec))",TRUE,0.0229,0.341,0.360391351486586,0.307090630777135,38
"(Intercept)21","(Intercept)",TRUE,0,0.88,0.679395691507167,0.652678665799431,39
"normalized(sqrt(TempSeas))20","normalized(sqrt(TempSeas))",TRUE,0.0055,-0.3,0.679395691507167,0.652678665799431,39
"(Intercept)22","(Intercept)",TRUE,0.003,0.638,0.364252658006521,0.311273712840398,40
"normalized((sqrt_change))19","normalized((sqrt_change))",TRUE,0.0362,0.221,0.364252658006521,0.311273712840398,40
"normalized(sqrt(curr_max95BodySize))14","normalized(sqrt(curr_max95BodySize))",TRUE,0.0489,-0.252,0.364252658006521,0.311273712840398,40
"(Intercept)23","(Intercept)",TRUE,0.0261,0.492,0.325926278240296,0.269753468093654,41
"factor(accAfrica)16","factor(accAfrica)1",TRUE,0.018,-0.398,0.325926278240296,0.269753468093654,41
"normalized((sqrt_change))20","normalized((sqrt_change))",TRUE,7e-04,0.376,0.325926278240296,0.269753468093654,41
"(Intercept)24","(Intercept)",TRUE,0.0064,0.477,0.488699933437104,0.446091594556862,42
"factor(accAfrica)17","factor(accAfrica)1",TRUE,0,-0.577,0.488699933437104,0.446091594556862,42
"normalized((sqrt_change))21","normalized((sqrt_change))",TRUE,3e-04,0.316,0.488699933437104,0.446091594556862,42
"factor(accAfrica)1:normalized(sqrt(CH_Mean))7","factor(accAfrica)1:normalized(sqrt(CH_Mean))",TRUE,2e-04,0.833,0.488699933437104,0.446091594556862,42
"(Intercept)25","(Intercept)",TRUE,0.0274,0.49,0.170114574435444,0.100957455638398,43
"factor(accAfrica)18","factor(accAfrica)1",TRUE,0.0353,-0.355,0.170114574435444,0.100957455638398,43
"(Intercept)26","(Intercept)",TRUE,0,0.936,0.416793735322769,0.368193213266333,44
"normalized(sqrt(CH_Mean))2","normalized(sqrt(CH_Mean))",TRUE,0.0283,-0.419,0.416793735322769,0.368193213266333,44
"normalized((sqrt_change))22","normalized((sqrt_change))",TRUE,0.0385,0.213,0.416793735322769,0.368193213266333,44
"normalized(sqrt(TempSeas))21","normalized(sqrt(TempSeas))",TRUE,0,-0.598,0.416793735322769,0.368193213266333,44
"normalized((sqrt_change))23","normalized((sqrt_change))",TRUE,0.0017,0.359,0.500583625737806,0.45896559454929,45
"normalized(sqrt(curr_max95BodySize))15","normalized(sqrt(curr_max95BodySize))",TRUE,6e-04,-0.481,0.500583625737806,0.45896559454929,45
"normalized(sqrt(TempSeas))22","normalized(sqrt(TempSeas))",TRUE,0.0407,-0.303,0.500583625737806,0.45896559454929,45
"normalized(sqrt(AnnualPrec))14","normalized(sqrt(AnnualPrec))",TRUE,0.0249,0.376,0.500583625737806,0.45896559454929,45
"normalized(sqrt(curr_max95BodySize))16","normalized(sqrt(curr_max95BodySize))",TRUE,0.0391,0.231,0.207496376346198,0.141454407708381,46
"normalized(sqrt(TempSeas))23","normalized(sqrt(TempSeas))",TRUE,0.0036,0.355,0.207496376346198,0.141454407708381,46
"normalized(sqrt(PrecSeas))13","normalized(sqrt(PrecSeas))",TRUE,0.0193,0.396,0.207496376346198,0.141454407708381,46
"(Intercept)27","(Intercept)",TRUE,5e-04,0.615,0.314374775075511,0.257239339665137,47
"factor(accAfrica)19","factor(accAfrica)1",TRUE,0.006,-0.365,0.314374775075511,0.257239339665137,47
"normalized(sqrt(AnnualPrec))15","normalized(sqrt(AnnualPrec))",TRUE,0.0282,0.279,0.314374775075511,0.257239339665137,47
"normalized(sqrt(TempSeas))24","normalized(sqrt(TempSeas))",TRUE,0.0079,0.391,0.20807011099043,0.142075953572966,48
"(Intercept)28","(Intercept)",TRUE,0.0256,-0.341,0.660159400499692,0.631839350541333,49
"normalized(sqrt(curr_max95BodySize))17","normalized(sqrt(curr_max95BodySize))",TRUE,0.0281,-0.202,0.660159400499692,0.631839350541333,49
"normalized(sqrt(TempSeas))25","normalized(sqrt(TempSeas))",TRUE,0,0.528,0.660159400499692,0.631839350541333,49
"normalized(sqrt(PrecSeas))14","normalized(sqrt(PrecSeas))",TRUE,0.0041,0.401,0.660159400499692,0.631839350541333,49
