"","LEVEL_3_CO","LAT","LONG","accAfrica","max95FL_palms","max95FW_angios","log_max95FL_palms_BBM_MCC","curr_max95BodySize","mean_abs_BSchange","presNat_max95BodySize","mean_perc_BSchange","MAT","TempSeas","AnnualPrec","PrecSeas","CH_Mean","CH_PercCover","accRealm"
"122","VIE",16.65160342,106.3040353,"0",3.5,6.02666198556583,1.3062,50889.3535842406,68565.28,676451.394085476,51.9,236.88633087244,2756.00618204029,78.3989227683661,1923.58321330991,23.6497,0.557146005,"Asia"
"123","VNA",NA,NA,"0",3.4752023541983,NA,1.3365,98522.6431891089,683529.59,3854810.51738151,95.89,268.924920614786,703.873945055114,51.6706481350336,524.488902589396,NA,NA,"Americas"
"124","WAU",-25.46606876,122.1782045,"0",2.74620084168858,3.7584346404451,1.3578,1777.16854006395,126147.21,157797.338380595,99.59,230.009074667085,5079.52143284063,64.4242081699754,357.24148950621,11.3343,0.005902793,"Pacific"
"125","WHM",33.32159715,76.67319106,"0",2.4074907185044,3.24748154597855,1.2125,175820.881917544,120139.93,1711303.12324026,51.08,19.7208797051139,7458.29189295637,66.6648143411374,847.957978702637,36.1903,0.15525362,"Asia"
"126","WIN",14.09525608,-60.99587035,"0",5.04975246918104,10,1.32,59.1418716099164,5.89,58.9503582008703,15.25,257.676033288287,808.561639219756,40.4507033891667,2176.45778275476,10.7318,0.332205136,"Americas"
"127","YEM",15.83691546,47.56879416,"0",5.7326567532262,8.25474319560785,1.24525,22773.5873893421,73378.85,60477.5765883521,91.32,255.744150116863,4093.09328732671,95.4652516542767,119.418191767496,1.37013,0.000101866,"Asia"
"128","ZAI",-2.876225764,23.65445822,"1",11.6477720303764,10,1.29,71114.4502934975,13388.64,102897.525277232,24.54,229.284129245656,775.979618472594,52.0239648559464,1620.25235716949,16.6613,0.593442003,"Africa"
"129","ZAM",-13.45307543,27.79788004,"1",10.6696764602335,7,1.284,83102.4525376083,16120.34,101235.536455816,18.52,214.283017659887,2445.04233209106,109.933631735003,1015.57997509935,8.9469,0.046341718,"Africa"
"130","ZIM",-19.00000577,29.87175983,"1",11.1831267863607,6.3249505926924,1.2015,121495.106917141,19771.7,197697.663199367,15.89,208.358455884197,3141.88073534867,103.467393881246,680.780190474609,8.0813,0.01414941,"Africa"
"131",NA,NA,NA,"1",3.80488332908262,10,1.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Africa"
