"","LEVEL_3_CO","LAT","LONG","accAfrica","max95FL_palms","max95FW_angios","log_max95FL_palms_BBM_MCC","curr_max95BodySize","mean_abs_BSchange","presNat_max95BodySize","mean_perc_BSchange","MAT","TempSeas","AnnualPrec","PrecSeas","CH_Mean","CH_PercCover","accRealm"
"41","ETH",8.626139271,39.61601894,"1",11.2002774747975,7.25386254672945,1.1124,90439.2215406529,138799.67,373691.619229758,56.1,226.384196528598,1389.29004192295,90.3556423905394,862.069120016298,15.7477,0.043358599,"Africa"
"42","FIJ",-17.46392922,160.792175,"0",6.54443913303928,6.53795789820706,1.2424,297.064599560242,0,297.064599560242,0,242.226429580827,1146.51809385732,47.9826525445361,2472.72123068089,NA,NA,"Pacific"
"43","FLA",28.65142195,-82.48405094,"0",2.02484567313166,7.89740194333928,1.463,29321.6017127407,998821.46,8138668.30203883,98.89,214.867061188943,4544.03109851937,44.0860547713205,1372.25299098719,20.1819,0.117579076,"Americas"
"44","FRG",3.924388201,-53.24126696,"0",5.78892549780383,7.75,1.303,11264.2823565827,168848.02,714830.080711886,97.43,255.29744129911,772.158441912077,46.4555291247702,2672.84311120722,22.8616,0.954636045,"Americas"
"45","GAB",-0.590677968,11.79715762,"1",7.68672940155047,10,1.3115,51888.7631273592,8271.47,70865.3386891365,10.86,237.483831177709,726.273413640247,62.915111990259,1840.32471650119,20.7917,0.904296881,"Africa"
"46","GAM",13.4529444,-15.3856196,"1",10.5428691051437,14.4872166527903,1.28465,75854.2213014612,129406.52,172612.874952643,80.47,280.928066598117,1611.90013075357,136.581123119626,801.647349048477,4.01763,0.121901368,"Africa"
"47","GGI",2.369331633,7.97621565,"1",10.8505733773608,11.3493411222345,1.27595,13263.779943905,0,13263.779943905,0,231.558580698745,997.399013332965,62.4093101248677,2360.31505284205,20.1848,0.511858599,"Africa"
"48","GHA",7.959643822,-1.207046189,"1",9.53301456943931,11.2121409017539,1.288,70246.370749979,8605.34,73443.1368969794,11.58,269.188236628003,1496.61547472063,69.3386836203293,1241.7872724372,15.0986,0.232468628,"Africa"
"49","GNB",12.0161983,-14.98748401,"1",13.7191515578198,8.9,1.2632,81968.7366059476,3200.03,82500,2.38,276.252854832792,1362.3575436286,127.455073141467,1566.74389850287,12.481,0.096737983,"Africa"
"50","GUA",15.7023026,-90.3569493,"0",3.5,7.47523853957965,1.287,7275,265356.87,192025.097099282,98.07,221.977211023323,1311.26410550376,66.0884741906413,2108.33394032354,21.3674,0.609468784,"Americas"
