"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"0_alpha"	"1_alpha"	"sigma0"	"1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
15	"OUMA"	31688.0441074142	-63366.0882148283	-63366.0586727308	-63337.9920477472	5	4.4e+10	3.7e+08	1.4e+08	1e-09	0.246041581140266	2.42186524945355e-06	2.42186524945355e-06	1516638.5290619	40957521380.4369	0.820127367517961	1450.22306622661
16	"OUMA"	24940.2149145297	-49870.4298290593	-49870.4002869618	-49842.3336619782	5	83000	45000	-120000	4.5758596410358e-08	0.236033461766031	1e-09	1e-09	1.87565464036277e-08	2.76351913232262e-09	0.9698785252316	0.142178772430135
16	"OUMVA"	31424.634325285	-62837.26865057	-62837.2272712597	-62803.5532500727	6	1100	510	160	0.00586375174452513	0.302617594568692	0.00219525245475594	0.00397363309754581	1.03553282734486e-12	1.23239493130866e-05	1.105123494873	13152158.5533933
17	"OUMA"	27690.8038004319	-55371.6076008639	-55371.5780587664	-55343.5114337827	5	3.9e+10	6.8e+08	3e+07	4.6019098144516e-09	0.225174310082322	2.74883108016445e-05	2.74883108016445e-05	-1858733.37119094	30531534191.4358	0.83164590397497	994.89719447872
18	"OUMA"	31177.9801644721	-62345.9603289443	-62345.9307868468	-62317.8641618631	5	4.7e+10	9.4e+08	-2.7e+08	2.99796863530752e-09	0.256773439991192	8.61571560022412e-06	8.61571560022412e-06	-1861339.22105467	189504811.675636	0.980988707719165	18.2936805595777
18	"OUMVA"	45960.2690559354	-91908.5381118708	-91908.4967325604	-91874.8227113734	6	1200	440	160	0.0012026372107132	0.319927846033694	1.04506406728765e-09	1.00931464759083e-09	-674868.388569643	73413235982.8264	1.15822166581177	10834.7222960114
19	"OUMA"	24514.029474803	-49018.0589496059	-49018.0294075085	-48989.9627825248	5	3.6e+10	6e+08	-9.9e+07	2.8563816425537e-08	0.211687966343811	1.82308533332034e-05	1.82308533332034e-05	0.854968768159149	0.0267858727332592	0.984560931023688	0.00550738669036287
19	"OUMVA"	59635.9315079049	-119259.86301581	-119259.8216365	-119226.147615313	6	1300	360	110	0.00972710167464219	0.285494032520576	1.04842989177277e-09	1.01383392953223e-09	-5.13034468376346e-12	0	1.10409591540853	0.963044811981808
2	"OUMA"	27235.2256920857	-54460.4513841715	-54460.421842074	-54432.3552170903	5	4.1e+10	4.4e+08	-1.3e+08	8.58573303529994e-07	0.234136205464726	8.97282099717012e-07	8.97282099717012e-07	0.856672434549309	0.00823119211913495	0.982794686008579	0.01174442019667
2	"OUMVA"	53817.8813489882	-107623.762697976	-107623.721318666	-107590.047297479	6	1100	420	190	0.0612592462897174	0.376217631221409	1.02648627157157e-09	8.68441112897306e-09	-72042.729903529	0	0.829398505547484	8.5253552848313
20	"OUMA"	78432.3916219253	-156854.783243851	-156854.753701753	-156826.68707677	5	8.9e+08	3.8e+07	47000	8.35805415096456e-05	0.423154515912216	1e-09	1e-09	-133594.035064762	0	0.782557949155853	33161579.2509234
21	"OUMVA"	726.617081815265	-1441.23416363053	-1441.19278432019	-1407.51876313317	6	6.1e+09	680	340	0.0246193915969254	3.97757272658074e-09	0.00133374803821979	0.00717563389979775	0.910933304679477	0.0380365931489169	329597.758823231	812531.30419273
21	"OUMA"	36101.7282544181	-72193.4565088363	-72193.4269667388	-72165.3603417551	5	4e+10	3.3e+08	-1.7e+08	2.33411697640022e-08	0.229625729399032	6.54656000109773e-06	6.54656000109773e-06	2760977.60971861	0	0.770005052014761	856.492390830911
22	"OUMA"	37898.7178730643	-75787.4357461286	-75787.4062040311	-75759.3395790475	5	4.8e+10	1.4e+09	-8.9e+07	4.08519894626209e-08	0.261659632380685	3.29827781387146e-05	3.29827781387146e-05	-4210195.60832536	13278065250.6677	0.716247368058386	1933.73870669089
23	"OUMA"	30463.7242150152	-60917.4484300304	-60917.4188879329	-60889.3522629493	5	5e+10	5.1e+08	-3.6e+08	1.84971802092731e-09	0.26939824358153	1.41198165107784e-05	1.41198165107784e-05	9.29592753617444e-12	0	0.812224152861423	117024.719724127
