"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"0_alpha"	"1_alpha"	"sigma0"	"1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
2	"OUMA"	35468.9755888529	-70927.9511777058	-70927.9216356083	-70899.8550106246	5	5.2e+10	3.9e+09	-5.2e+08	1.10410595565419e-09	0.263119886127982	0.00652371134851278	0.00652371134851278	-7.08152218139907e-13	0.0268992645054433	-0.849685460299635	32221512179.1713
2	"OUMVA"	58704.7170635688	-117397.434127138	-117397.392747827	-117363.71872664	6	1100	370	210	0.0143534274648478	0.30628715820797	1.28812592343816e-09	1.00115776587726e-09	-2.80419993986307e-14	7.46434947926964e-06	-0.849685460298956	212736405.409235
20	"OUMA"	63842.6744686548	-127675.34893731	-127675.319395212	-127647.252770229	5	4100000	2300000	4100	0.000138357357797313	0.437391102342292	1.01928074274748e-09	1.01928074274748e-09	-5.62085646225633e-16	0	-0.849685460298928	674025996281592
20	"OUMVA"	64118.6540240913	-128225.308048183	-128225.266668872	-128191.592647685	6	1100	420	180	0.00947658989315602	0.360024936379315	1.20708739110785e-09	2.85070680691702e-09	-1.64636327528013e-15	0.000237212433173912	-0.849685460298929	147641336777.198
21	"OUMA"	42448.2747477944	-84886.5494955888	-84886.5199534913	-84858.4533285077	5	4.4e+10	2.3e+08	-7.2e+07	2.87027760761046e-08	0.249801056255845	1e-09	1e-09	2.23918280644243e-09	1.09809219849876e-07	1.6599243520843	26.0660349726435
21	"OUMVA"	59897.9164471911	-119783.832894382	-119783.791515072	-119750.117493885	6	1100	440	140	0.134205606887348	0.483550658911837	1.00821124169516e-09	1.06790389587449e-09	6.12502410612568e-17	0	-0.849685460298928	590340765727.217
22	"OUMA"	28677.3152856228	-57344.6305712455	-57344.601029148	-57316.5344041644	5	4.8e+10	2.2e+09	-2.1e+07	6.8746097197644e-09	0.260523427915721	0.00283449696869605	0.00283449696869605	204827.071531073	7167344950.04678	-0.322968526717689	11165.5407470822
23	"OUMA"	42002.8157850589	-83995.6315701179	-83995.6020280204	-83967.5354030367	5	4.8e+10	2.2e+08	-7.2e+07	1.89620049759998e-08	0.263431466973716	1.00069791239175e-09	1.00069791239175e-09	-7.5068155472848e-09	2.22129115578686e-07	-0.231083204458425	19.3496360010796
23	"OUMVA"	77521.1901348104	-155030.380269621	-155030.33889031	-154996.664869123	6	1000	450	170	0.000516915031702602	1.2993197981761	1e-09	1e-09	-1.32703602001795e-16	0	-0.849685460298928	7.16170092620867e+47
24	"OUMA"	50659.4394273768	-101308.878854754	-101308.849312656	-101280.782687672	5	1.6e+09	1700000	6100	0.00053529327320111	0.31251061917164	1.29132701536206e-09	1.29132701536206e-09	5.08569678142985e-10	5.74698600329706e-09	3.1248589013477	43.3613033686062
24	"OUMVA"	52270.7144342321	-104529.428868464	-104529.387489154	-104495.713467967	6	1200	430	150	0.0254622928204768	0.359971395073529	1.06527505849296e-09	1.00458764092816e-09	-205018710.010152	0	-0.873433453705476	6503.53552154466
25	"OUMA"	22713.8643875864	-45417.7287751728	-45417.6992330753	-45389.6326080917	5	4e+10	1.8e+09	-2.3e+07	5.26394895756013e-08	0.228430150340417	0.00168332213180352	0.00168332213180352	-445689.38042823	1026474399.52819	3.03539830278286	52.8270117547655
25	"OUMVA"	33987.5116863826	-67963.0233727653	-67962.9819934549	-67929.3079722679	6	1500	440	2.6	0.00493921732049405	0.294502631413997	0.315330717313311	0.556584871646117	703612.382444723	868730534384.089	-0.449473818784238	1874793.3948109
26	"OUMA"	28321.6686537846	-56633.3373075692	-56633.3077654717	-56605.2411404881	5	4.1e+10	110000	41000	4.72216787082092e-08	0.236608184452138	1e-09	1e-09	4.21544639717108e-08	1.17185597515619e-10	2.93736091426863	0.00816559761268166
26	"OUMVA"	37593.4839483329	-75174.9678966659	-75174.9265173555	-75141.2524961685	6	1100	450	140	0.014507101721414	0.279628369237313	0.0391935265524385	0.0484583837170175	3.27128093681775e-10	2.67016819520296e-06	2.68047481636824	21871.4209261437
27	"OUMA"	61898.0895889771	-123786.179177954	-123786.149635857	-123758.083010873	5	8.6e+10	8e+08	9900	3.32465815310687e-05	0.387088270188664	1e-09	1e-09	-2.71969364449198e-11	0.0148776002640679	-0.23713014520999	61776440.6474498
28	"OUMA"	75919.5541196452	-151829.10823929	-151829.078697193	-151801.012072209	5	2.2e+11	8.6e+08	-1.9e+07	0.000338393242369504	0.413050411844025	1.24646832728464e-09	1.24646832728464e-09	-2.78352091107539e-16	0	-0.849685460298928	85662552092053.8
29	"OUMA"	26880.0335960413	-53750.0671920825	-53750.037649985	-53721.9710250014	5	4.2e+10	1.7e+09	120000	1.18005674694321e-08	0.240065062563264	0.00251578399730564	0.00251578399730564	-4.64271410513933e-12	8.60294899155133e-05	-0.319553504620435	5907335.01489432
