"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"0_alpha"	"1_alpha"	"sigma0"	"1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"	"fit"	"delta"	"w"
100	"OUM"	-3506.45082465414	7020.90164930829	7020.92133434766	7043.3785829732	4	6.2e+09	9.4e+08	0	3.33647421360065	3.33647421360065	12.4006964154204	12.4006964154204	2.17705276226467	0.0375201457270543	1.88218130683167	0.0526755708246081	7020.92133434766	0.0632093345902831	0.492078166055052
100	"OUMV"	-3505.41429145779	7020.82858291558	7020.85812501307	7048.92474999671	5	6.2e+09	9.2e+08	2e+06	3.33634570926133	3.33634570926133	12.7522160778335	11.621350403435	2.17704315789645	0.0380489636472957	1.8821827838026	0.0509944700615184	7020.85812501307	0	0.507878499756357
11	"BM1"	-4024.15142606794	8052.30285213588	8052.3087518409	8063.54131896833	2	1000	0	0	0	0	0.476028850436534	0	1.22972645042298	2.90476025453015	0	0	8052.3087518409	1241.59275526021	2.46340679691787e-270
11	"BMS"	-3948.8442905216	7903.6885810432	7903.70038625717	7920.54628129188	3	680	340	0	0	0	0.590635779187427	0.250311944633955	1.33801201706903	3.00586409473135	0	0	7903.70038625717	1092.98438967649	4.5859857847993e-238
11	"OU1"	-3413.3375429161	6832.67508583219	6832.68689104616	6849.53278608087	3	1700	110	0	0.219160888539787	0	0.921433988922893	0	1.92976911992084	0.0437093441333099	0	0	6832.68689104616	21.9708944654822	1.69456491848955e-05
11	"OUM"	-3411.60079146619	6831.20158293239	6831.22126797176	6853.67851659729	4	1700	99	0	0.226970409120118	0.226970409120118	0.944843124665097	0.944843124665097	1.99916449566839	0.0545376648522014	1.8280371887811	0.0699857334420108	6831.22126797176	20.5052713910745	3.52625908538058e-05
11	"OUMV"	-3400.3432272416	6810.68645448319	6810.71599658068	6838.78262156433	5	1200	490	73	0.19950146937584	0.19950146937584	0.951960834390188	0.673844387986244	1.97335508304789	0.0617482561629564	1.83206439621717	0.0660984007286736	6810.71599658068	0	0.999947791759961
12	"BM1"	-3283.60828724334	6571.21657448667	6571.22247419169	6582.45504131913	2	1000	0	0	0	0	0.237151645837793	0	1.13928496493631	1.9598619946603	0	0	6571.22247419169	800.05238415473	1.86565855543311e-174
12	"BMS"	-3283.4249307475	6572.84986149501	6572.86166670898	6589.70756174369	3	670	350	0	0	0	0.240336461549852	0.230935017762004	1.14713152753858	1.95241428704249	0	0	6572.86166670898	801.691576672019	8.22026903579774e-175
12	"OU1"	-2959.72597528006	5925.45195056011	5925.46375577408	5942.30965080879	3	1400	240	0	0.0915015367842152	0	0.341499087300567	0	1.76511992530288	0.0655822034504357	0	0	5925.46375577408	154.293665737126	3.13008541474226e-34
12	"OUM"	-2955.72554975848	5919.45109951697	5919.47078455634	5941.92803318188	4	1400	250	0	0.0901362011905251	0.0901362011905251	0.337526334216072	0.337526334216072	1.61634907222194	0.0831219002644668	2.01695785160998	0.112429776955042	5919.47078455634	148.300694519382	6.26488861407969e-33
12	"OUMV"	-2955.64181663765	5921.2836332753	5921.31317537279	5949.37980035644	5	1000	410	180	0.090009234761835	0.090009234761835	0.334127939589903	0.343499409584905	1.61442400193521	0.0828776305211491	2.01712629363867	0.113580655723393	5921.31317537279	150.143085335836	2.49369463744295e-33
12	"OUMVA"	-2879.56435536331	5771.12871072661	5771.17009003696	5804.84411122397	6	1000	410	180	0.0834984861758498	0.0906820124988406	0.543756256782986	0.334072973881872	1.8625919686052	0.0916107120869903	2.07514429627951	0.11235870420655	5771.17009003696	0	1
13	"BM1"	-3436.85528342158	6877.71056684316	6877.71646654818	6888.94903367562	2	1000	0	0	0	0	0.283821940883683	0	1.21552897089673	2.1974795517386	0	0	6877.71646654818	793.815304001078	3.17604259423053e-173
13	"BMS"	-3418.69120584294	6843.38241168589	6843.39421689986	6860.24011193457	3	670	340	0	0	0	0.244305137118392	0.361475400412951	1.18235307958789	2.0813991705253	0	0	6843.39421689986	759.493054352755	9.01297429681355e-166
13	"OU1"	-3052.55889883713	6111.11779767426	6111.12960288823	6127.97549792294	3	1500	270	0	0.110791493855004	0	0.422288120421121	0	1.80693930786927	0.0600390982154025	0	0	6111.12960288823	27.2284403411259	9.20680005592116e-07
13	"OUM"	-3051.72185763283	6111.44371526566	6111.46340030503	6133.92064893057	4	1500	270	0	0.109565488131238	0.109565488131238	0.419330660598612	0.419330660598612	1.73967484468122	0.0780318205587946	1.9053083312964	0.0979853210892708	6111.46340030503	27.562237757933	7.79157981056816e-07
13	"OUMVA"	-3037.04359161453	6086.08718322906	6086.1285625394	6119.80258372642	6	1100	390	200	0.103611974040161	0.103398210955513	0.350501811803953	0.516785987576041	1.69449978256452	0.076984341333739	1.91162962251303	0.114975188277724	6086.1285625394	2.22739999230362	0.247181318415821
13	"OUMV"	-3036.93581022481	6083.87162044961	6083.9011625471	6111.96778753075	5	1100	390	200	0.104801479811827	0.104801479811827	0.356373470573165	0.51430730621428	1.70605757196394	0.0763186310063631	1.90993980388894	0.113706993925726	6083.9011625471	0	0.752816981746192
14	"BM1"	-3234.84271468279	6473.68542936558	6473.69132907059	6484.92389619803	2	1000	0	0	0	0	0.242848398049548	0	1.33723519204861	2.00893021879658	0	0	6473.69132907059	673.2792818485	6.29885415863583e-147
14	"BMS"	-3205.60662361189	6417.21324722378	6417.22505243775	6434.07094747246	3	670	350	0	0	0	0.199527726658393	0.327419167227633	1.29759368852821	2.02580978286128	0	0	6417.22505243775	616.813005215658	1.15015859869136e-134
14	"OU1"	-2917.52192942437	5841.04385884873	5841.0556640627	5857.90155909741	3	1400	260	0	0.0974151330395494	0	0.348259005175625	0	1.88522915975195	0.0661762836318368	0	0	5841.0556640627	40.643616840609	1.49400048006729e-09
14	"OUM"	-2914.95834167498	5837.91668334995	5837.93636838932	5860.39361701486	4	1400	270	0	0.0959363897308099	0.0959363897308099	0.344735061459556	0.344735061459556	1.7545366726146	0.0864836948536492	2.07416141375139	0.108430986871986	5837.93636838932	37.5243211672323	7.10717789672134e-09
14	"OUMV"	-2895.1912525623	5800.3825051246	5800.41204722209	5828.47867220574	5	1000	380	210	0.0900541628797196	0.0900541628797196	0.283976862008098	0.433767004913201	1.70631376185906	0.0852657823811374	2.06910791448716	0.129787877700121	5800.41204722209	0	0.999999991398822
