"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
"ouwie_Afr_BM_31"	"OUMA"	18980.9465937365	-37951.893187473	-37951.8636453755	-37923.7970203919	5	820000	320000	490	1.05913800450406e-09	0.419477323241398	1e-09	1e-09	-3.40643346155587e-11	0.0793462883605929	-0.374353823828204	556594418.644539
"ouwie_Afr_BM_32"	"OUMA"	19100.3469330847	-38190.6938661694	-38190.6643240719	-38162.5976990883	5	3600000	25000	2200	1e-09	0.350199175960414	1e-09	1e-09	4.02488764753141e-15	3.94731044596222e-07	1.95279222162388	27567240.9083122
"ouwie_Afr_BM_33"	"OUMA"	17549.1369123023	-35088.2738246045	-35088.2442825071	-35060.1776575234	5	2.3e+07	660000	70000	0.000201544215981118	0.197061911227381	1e-09	1e-09	7433.10352612642	0	-0.502790693236578	0.0125689873642099
"ouwie_Afr_BM_34"	"OUMA"	25689.4950961679	-51368.9901923359	-51368.9606502384	-51340.8940252547	5	6.4e+09	1.9e+07	30	3.21298107070515	1.43987733489427	1e-09	1e-09	-0.459702875277356	6.85543669573549e+43	6.55361052177955e-80	0
"ouwie_Afr_BM_35"	"OUMA"	19794.5384703478	-39579.0769406956	-39579.0473985981	-39550.9807736144	5	2.3e+17	-7.7e+14	-1.2e+18	3.09548297936652	3.29492546087892	1e-09	1e-09	11930994.6484794	0	1.69660940071248	0.103153217776466
"ouwie_Afr_BM_35"	"OUMVA"	26100.4248885473	-52188.8497770946	-52188.8083977843	-52155.1343765972	6	990	43	27	3.33200128613165	1.573757136168	1.00497613310471e-09	0.000181742447573433	-0.180581465217347	21752588.070022	-1.54427754260395e-87	1.86021490132508e-79
"ouwie_Afr_BM_36"	"OUMA"	26404.8033678474	-52799.6067356947	-52799.5771935973	-52771.5105686136	5	1.3e+07	1800	-5.9e+08	3.13630447449409	1.72293534662444	1e-09	1e-09	2.09872500582714	3.354372428533e+19	-3.65463924595167e-28	8.57158627414515e-09
"ouwie_Afr_BM_37"	"OUMA"	26195.2369433262	-52380.4738866523	-52380.4443445548	-52352.3777195712	5	5.9e+09	7200000	1200	3.39042269253164	1.67389389051011	1e-09	1e-09	-0.831837827876874	1.00019209339794e+35	-1.67509524361046e-20	0
"ouwie_Afr_BM_38"	"OUMA"	25946.5502959242	-51883.1005918484	-51883.0710497509	-51855.0044247673	5	5.8e+09	2.6e+09	1600	3.40043400179626	1.03732743343967	1.00593930497254e-09	1.00593930497254e-09	2.84299493487572	2.28297047331171e+62	3.21741691260388e-25	6.23356323990075e+37
"ouwie_Afr_BM_39"	"OUMA"	25621.1452010208	-51232.2904020415	-51232.260859944	-51204.1942349604	5	6.3e+09	4.7e+07	1200	3.24953596692347	1.17895343489761	1e-09	1e-09	3.35468051109662	4.92653197211108e+48	-1.87848640907959e-26	0
"ouwie_Afr_BM_4"	"OUMA"	25500.3618152789	-50990.7236305578	-50990.6940884604	-50962.6274634767	5	5.9e+09	1.2e+07	1500	3.35619625883187	1.61047647888312	1e-09	1e-09	-1.11093906319486	1.19380971380635e+50	4.79252700275601e-60	0
"ouwie_Afr_BM_40"	"OUMA"	18741.0836540428	-37472.1673080857	-37472.1377659882	-37444.0711410045	5	2.5e+07	5800000	13000	0.151341119335911	0.333012456120833	1e-09	1e-09	-22161910.2932374	928644.188145933	-0.162054059197552	0.0582225139681548
"ouwie_Afr_BM_41"	"OUMA"	26472.7883416466	-52935.5766832933	-52935.5471411958	-52907.4805162121	5	1.4e+07	-760	-5e+08	3.43511336676144	1.54894777907683	1e-09	1e-09	-0.413186004711819	1.79999168191956e+41	1.48419771033568e-19	0
